,"Author: Falchi, Mario",,,,,,,,,,,
1983,"?-Phenoxy-ethyl-dimethyl-dodecyl-ammonium bromide: In vitro and in vivo antibacterial activity","Scaglione F., Montoli C., Falchi M.",03786501,"Drugs under Experimental and Clinical Research",9, 12,0,0,0,0,0,0
1983,"Clinical treatment of prostatic hypertrophy | TERAPIA MEDICA DELL'IPERTROFIA PROSTATICA. SPERIMENTAZIONE CLINICA CONTROLLATA","Gagliardi V., Apicella F., Pino P., Falchi M.",00040290,"Archivio Italiano di Urologia e Nefrologia",55, 1,2,0,0,0,0,2
1983,"Effects of silymarin on platelet aggregation in hypercholesterolaemised rabbits","Falchi M., Biella G., Mazza D.",03786501,"Drugs under Experimental and Clinical Research",9, 6,1,0,0,0,0,1
1982,"Chemotherapeutic and antibiotic resistance profiles of salmonellas isolated from the Milan population in 1981 | PROFILI DI RESISTENZA AI CHEMIOANTIBIOTICI DI SALMONELLE ISOLATE NELLA POPOLAZIONE MILANESE NEL 1981","Gelosa L., Cigada F., Falchi M., Dubini F.",00170445,"Giornale Italiano di Chemioterapia",29, 2,0,0,0,0,0,0
1982,"Pharmacokinetics of josamycin in man and distribution in various compartments | Farmacocinetica della josamicina nell'uomo e distribuzione in vari compartimenti.","Fraschini F., Braga P.C., Gagliardi V., Falchi M., Scaglione F., Scarpazza G., Manganelli V.",00170445,"Giornale Italiano di Chemioterapia",29, ,0,0,0,0,0,0
1982,"Serum and sputum pharmacokinetics of ceftriaxone in man","Fraschini F., Braga P.C., Falchi M.",0392906X,"Chemioterapia",1, 4,0,0,0,0,0,0
1982,"Epidemiology and sensitivity to chemotherapeutics and antibiotics of salmonellas isolated in Rome province in 1976-78 | EPIDEMIOLOGIA E CHEMIO-ANTIBIOTICO SENSIBILITA DI SALMONELLE ISOLATE IN PROVINCIA DI ROMA NEGLI ANNI 1976-78","Faraone P., Ingravallo C., Falchi M., Fraschini F.",00170445,"Giornale Italiano di Chemioterapia",29, 2,0,0,0,0,0,0
1982,"Arginine thiazolidincarboxylate and liver protein synthesis. Animal studies with depressed protein synthesis | TIAZOLIDINCARBOSSILATO DI ARGININA E SINTESI PROTEICA EPATICA. STUDIO DI ANIMALI CON SINTESI PROTEICA DEPRESSA","Falchi M.",,"Farmaco, Edizione Pratica",37, 5,0,0,0,0,0,0
1981,"Problems of antibiotic drug therapy in infections of oral cavity | Problemi di chemioantiobiotico terapia delle infezioni del cavo orale.","Fraschini F., Falchi M.",,"Odontostomatologia E Implantoprotesi",, 5,0,0,0,0,0,0
1981,"Arginine thiazolidinecarboxylate 14C uptake by individual phospholipids isolated from rat liver microsomes","Dubini F., Falchi M.",01744879,"International Journal of Clinical Pharmacology Therapy and Toxicology",19, 5,0,0,0,0,0,0
1981,"Tissue distribution of carbon-14 following oral administration of 14C-ATCA in rats | DISTRIBUZIONE TISSUTALE DEL 14C CONSEGUENTE A SOMMINISTRAZIONE ORALE DI 14C-TIALOLIDINCARBOSSILATO DI ARGININA (ATCA) NEL RATTO","Nebuloni R., Falchi M., Dubini F.",,"Farmaco, Edizione Pratica",36, 7,0,0,0,0,0,0
1980,"The antibiotics to-day | GLI ANTIBIOTICI OGGI","Fraschini F., Falchi M.",03704165,"Rassegna Clinico-Scientifica",56, 9-10,0,0,0,0,0,0
1980,"Antiviral activity of emetine | ATTIVITA ANTIVIRALE DELL'EMETINA","Dubini F., Mattina R., Falchi M.",03919862,"Chemioterapia Antimicrobica",3, 1,0,0,0,0,0,0
1980,"Protective action of arginine thiazolidinecarboxylate against morphologic and functional liver damage in rats with chronic ethanol poisoning | EFFETTO PROTETTIVO DEL TIAZOLIDINCARBOSSILATO DI ARGININA (TCA) SULLE ALTERAZIONI MORFOLOGICO-FUNZIONALI DEL FEGATO INDOTTE NEL RATTO DALL'INTOSSICAZIONE CRONICA DA ETANOLO","Ferrario F., Marcucci A., Falchi M., Dubini F.",,"Farmaco, Edizione Pratica",35, 1,0,0,0,0,0,0
1979,"Antihepatotoxic activity of arginine thiazolidinecarboxylate in hepatitis induced by galactosamine in the rat | ATTIVITA ANTIEPATOTOSSICA DEL TIAZOLIDINCARBOSSILATO DI ARGININA NELL'EPATITE DA GALATTOSAMINA NEL RATTO","Carminati R., Falchi M., Nebuloni R.",,"Farmaco, Edizione Pratica",34, 4,1,0,0,0,0,1
1978,"Protective effect of arginine thiazolidinecarboxylate against potassium depletion caused by phalloidin in perfused rat liver | ATTIVITA PROTETTIVA DEL TIAZOLIDINCARBOSSILATO DI ARGININA SULLA DEPLEZIONE POTASSICA INDOTTA DALLA PHALLOIDINA SUL FEGATO PERFUSO DI RATTO","Falchi M., Nebuloni R., Carminati R.",00066648,"Bollettino Chimico Farmaceutico",117, 12,0,0,0,0,0,0
1976,"Controlled and open clinical trials of various amino acids in liver diseases of varying severity | VALUTAZIONE DELL'ATTIVITA SENSIBILIZZANTE DI UNA NUOVA LINEA DI PRODOTTI COSMETICI","Corciulo D., Nebuloni R., Falchi M., Dubini F.",00165670,"Gazzetta Medica Italiana",135, 12,0,0,0,0,0,0
