,"Author: Bishop, Anne E.",,,,,,,,,,,
1988,"Occurrence and developmental pattern of neuromedin U-immunoreactive nerves in the gastrointestinal tract and brain of the rat","Ballesta J., Polak J.M., Carlei F., Bishop A.E., Steel J.H., Gibson S.J., Fahey M., Hennessey R., Domin J., Bloom S.R.",03064522,"Neuroscience",25, 3,36,4,7,11,7,54
1988,"Markers for neuroendocrine differentiation","Bishop A.E., Power R.F., Polak J.M.",03440338,"Pathology Research and Practice",183, 2,17,3,1,4,0,21
1988,"Endocrine differentiation in inflamed urinary bladder epithelium with metaplastic changes","Hamid Q.A., Rode J., Flanagan A.M., Dhillon A.P., Bishop A.E., Stratton M., Evans D.J., Polak J.M.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",412, 3,1,0,0,0,0,1
1988,"Multiple peptide production and presence of general neuroendocrine markers detected in 12 cases of human phaeochromocytoma and in mammalian adrenal glands","Hacker G.W., Bishop A.E., Terenghi G., Varndell I.M., Aghahowa J., Pollard K., Thurner J., Polak J.M.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",412, 5,19,0,1,1,0,20
1988,"Familial autonomic visceral myopathy with degeneration of muscularis mucosae","Alstead E.M., Murphy M.N., Flanagan A.M., Bishop A.E., Hodgson H.J.F.",00219746,"Journal of Clinical Pathology",41, 4,7,0,0,0,2,9
1987,"Transgenic mouse model: a new approach for the investigation of endocrine pancreatic B-cell growth.","Power R.F., Holm R., Bishop A.E., Varndell I.M., Alpert S., Hanahan D., Polak J.M.",00175749,"Gut",28, ,2,0,0,0,0,2
1987,"A mixed pattern of endocrine cells in metaplastic Barrett's oesophagus. Evidence that the epithelium derives from a pluripotential stem cell","Rindi G., Bishop A.E., Daly M.J.",03015564,"Histochemistry",87, 4,7,1,0,1,0,8
1987,"Hirschsprung's disease and peptidergic innervation","Federici G., Rivosecchi M., Polak J.M., Bishop A., Dall'Oglio L., De Peppo F., Riccardi C., Bergami F.",03900495,"Rassegna Italiana di Chirurgia Pediatrica",29, 4,0,0,0,0,0,0
1987,"Mice transgenic for a vasopressin-SV40 hybrid oncogene develop tumors of the endocrine pancreas and the anterior pituitary. A possible model for human multiple endocrine neoplasia type 1","Murphy D., Bishop A., Rindi G., Murphy M.N., Stamp G.W.H., Hanson J., Polak J.M., Hogan B.",00029440,"American Journal of Pathology",129, 3,27,1,0,1,0,28
1987,"Dual intrinsic and extrinsic origins of CGRP- and NPY-immunoreactive nerves of rat gut and pancreas.","Su H.C., Bishop A.E., Power R.F., Hamada Y., Polak J.M.",02706474,"Journal of Neuroscience",7, 9,56,5,2,7,0,63
1987,"Increased neuropeptide Y-immunoreactive innervation of aganglionic bowel in Hirschsprung's disease","Hamada Y., Bishop A.E., Federici G.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",411, 4,8,0,0,0,0,8
1987,"Peptide histidine-methionine immunoreactivity in plasma and tissue from patients with vasoactive intestinal peptide-secreting tumors and watery diarrhea syndrome","Yiangou Y., Williams S.J., Bishop A.E.",0021972X,"Journal of Clinical Endocrinology and Metabolism",64, 1,7,0,1,1,0,8
1987,"Increased populations of endocrine cells in Crohn's ileitis","Bishop A.E., Pietroletti R., Taat C.W.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",410, 5,11,2,5,7,1,19
1986,"Age-related peptide production by human thyroid C cells. An immunohistochemical study","Kendall C.H., Homer C.E., Bishop A.E., Polak J.M.",01747398,"Virchows Archiv - A Pathological Anatomy and Histopathology",410, 2,1,0,0,0,0,1
1986,"Duodenal gangliocytic paragangliomas: A study of 10 cases with immunocytochemical neuroendocrine markers","Hamid Q.A., Bishop A.E., Rode J.",00468177,"Human Pathology",17, 11,25,0,1,1,0,26
1986,"Gastric regulatory peptides in rats with reduced acid secretion","Bishop A.E., Allen J.M., Daly M.J.",00122823,"Digestion",35, 1,2,0,0,0,0,2
1986,"Gut endocrine cell population in coeliac disease estimated by immunocytochemistry using a monoclonal antibody to chromogranin","Pietroletti R., Bishop A.E., Carlei F.",00175749,"Gut",27, 7,1,0,0,0,0,1
1986,"Immunocytochemical characterization of 10 pancreatic tumours, associated with the glucagonoma syndrome, using antibodies to separate regions of the pro-glucagon molecule and other neuroendocrine markers","Hamid Q.A., Bishop A.E., Sikri K.L.",03090167,"Histopathology",10, 2,10,1,0,1,0,11
1986,"Occurrence and distribution of a newly discovered peptide, galanin, in the mammalian enteric nervous system","Bishop A.E., Polak J.M., Bauer F.E.",00175749,"Gut",27, 7,18,0,1,1,0,19
1986,"Effect of inhibition of acid secretion on the regulatory peptides in the rat stomach","Allen J.M., Bishop A.E., Daly M.J.",00165085,"Gastroenterology",90, 4,22,1,0,1,1,24
1985,"Distribution and chromatographic characterisation of CGRP-like immunoreactivity in the brain and gut of the rat","Mulderry P.K., Ghatei M.A., Bishop A.E.",01670115,"Regulatory Peptides",12, 2,13,1,2,3,0,16
1985,"Presence of neuromedin B-like immunoreactivity in the brain and gut of rat and guinea-pig","Namba M., Ghatei M.A., Bishop A.E.",01969781,"Peptides",6, 3,9,0,1,1,1,11
1985,"Chromogranin: A newly recognized marker for endocrine cells of the human gastrointestinal tract","Facer P., Bishop A.E., Lloyd R.V.",00165085,"Gastroenterology",89, 6,43,2,1,3,0,46
1985,"Occurrence, distribution and nature of neuropeptide Y in the rat pancreas","Carlei F., Allen J.M., Bishop A.E.",00144754,"Experientia",41, 12,6,1,0,1,0,7
1985,"Combined immunostaining of neurofilaments, neuron specific enolase, GFAP and S-100. A possible means for assessing the morphological and functional status of the enteric nervous system","Bishop A.E., Carlei F., Lee V.",,"Histochemistry",82, 1,19,3,1,4,2,25
1985,"Localization of glucagon-like peptide (GLP) immunoreactants in human gut and pancreas using light and electron microscopic immunocytochemistry","Varndell I.M., Bishop A.E., Sikri K.L.",00221554,"Journal of Histochemistry and Cytochemistry",33, 10,45,2,0,2,1,48
1984,"The regulatory peptide system of the large bowel in equine grass sickness","Bishop A.E., Hodson N.P., Major J.H.",00144754,"Experientia",40, 8,6,0,1,1,1,8
1984,"Comparative distribution of vasoactive intestinal polypeptide (VIP), substances P and PHI in the enteric sphincters of the cat","McGregor G.P., Bishop A.E., Blank M.A.",00144754,"Experientia",40, 5,1,0,0,0,0,1
1984,"Vasoactive intestinal peptide concentrations and immunocytochemical studies in rectal biopsies from patients with inflammatory bowel disease","O'Morain C., Bishop A.E., McGregor G.P.",00175749,"Gut",25, 1,35,3,3,6,1,42
1984,"The distributions of PHI and VIP in porcine gut and their co-localisation to a proportion of intrinsic ganglion cells","Bishop A.E., Polak J.M., Yiangou Y.",01969781,"Peptides",5, 2,2,0,0,0,0,2
1982,"Grass sickness of horses: changes in the regulatory peptide system of the bowel.","Hodson N., Edwards G.B., Barnett S.W., Bishop A.E., Cole G.A., Probert L., Bloom S.R., Polak J.M.",00424900,"Veterinary Record",110, 12,4,0,0,0,0,4
1982,"Peptidergic nerves","Bishop A.E., Ferri G.L., Probert L.",00855928,"Scandinavian Journal of Gastroenterology, Supplement",17, 71,2,0,0,0,0,2
1982,"Neuron specific enolase: A common marker for the endocrine cells and innervation of the gut and pancreas","Bishop A.E., Polak J.M., Facer P.",00165085,"Gastroenterology",83, 4,21,4,1,5,2,28
1981,"Abnormalities of the colonic regulatory peptides in Hirschsprung's disease","Bishop A.E., Polak J.M., Lake B.D.",03090167,"Histopathology",5, 6,6,0,0,0,0,6
1981,"Decrease of pancreatic somatostatin in neonatal nesidioblastosis","Bishop A.E., Polak J.M., Chesa G.",00121797,"Diabetes",30, 2,6,0,0,0,0,6
1980,"Abnormalities of vasoactive intestinal polypeptide-containing nerves in Crohn's disease","Bishop A.E., Polak J.M., Bryant M.G.",00165085,"Gastroenterology",79, 5 I,51,6,3,9,0,60
1980,"Neural and hormonal peptides in rectal biopsy specimens from patients with Chagas' disease and chronic autonomic failure","Long R.G., Bishop A.E., Barnes A.J.",01406736,"Lancet",1, 8168,7,1,1,2,0,9
1980,"The location of VIP in the pancreas of man and rat","Bishop A.E., Polak J.M., Green I.C.",0012186X,"Diabetologia",18, 1,21,2,1,3,2,26
1980,"The peptidergic system in Chagas's disease [proceedings]","Long R.G., Albuquerque R.H., Bishop A.E., Polak J.M., Bloom S.R.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",74, 2,0,0,0,0,0,0
1980,"Immunocytochemistry: Its applications and drawbacks for the study of gut neuroendocrinology","Facer P., Bishop A.E., Polak J.M.",,"Investigative and Cell Pathology",3, 1,1,0,0,0,0,1
1979,"Vasoactive intestinal polypeptide (VIP) and substance P nerves in man and other mammals","Polak J.M., Bishop A.E., Wharton J.",00142972,"European Journal of Clinical Investigation",9, 2,0,0,0,0,0,0
1979,"Vasoactive intestinal polypeptide innervation of the genital tract of women [proceedings]","Bishop A.E., Polak J.M., Bloom S.R.",00220795,"Journal of Endocrinology",81, 2,0,0,0,0,0,0
1978,"The morphology of vipergic nerves in Crohn's disease","Polak J.M., Bishop A.E., Bloom S.R.",00365521,"Scandinavian Journal of Gastroenterology",13, 49,0,0,0,0,0,0
1978,"Peripheral peptidergic innervation","Bishop A.E., Polak J.M.",01662236,"Trends in Neurosciences",1, 3,0,0,0,0,0,0
1978,"Fixation of peptide neurotransmitters in the gut","Bishop A.E., Polak J.M.",00365521,"Scandinavian Journal of Gastroenterology",13, 49,0,0,0,0,0,0
1978,"The vipergic innervation of the pancreas","Polak J.M., Bishop A.E., Bloom S.R.",00365521,"Scandinavian Journal of Gastroenterology",13, 49,0,0,0,0,0,0
1978,"D cell pathology in duodenal ulcers and achlorhydria","Polak J.M., Bloom S.R., Bishop A.E., McCrossan M.V.",00260495,"Metabolism: Clinical and Experimental",27, 9,0,0,0,0,0,0
1978,"A new universal technique for the immunocytochemical localization of peptidergic innervation [proceedings]","Bishop A.E., Polak J.M., Bloom S.R., Pearse A.G.",00220795,"Journal of Endocrinology",77, 2,2,0,0,0,0,2
