,"Authors: Friedland, J. S.; Friedland, Jon S.",,,,,,,,,,,
1993,"Differential cytokine gene expression and secretion after phagocytosis by a human monocytic cell line of Toxoplasma gondii compared with Mycobacterium tuberculosis","Friedland J.S., Shattock R.J., Johnson J.D., Remick D.G., Holliman R.E., Griffin G.E.",00099104,"Clinical and Experimental Immunology",91, 2,16,1,1,2,1,19
1993,"Release of human immunodeficiency virus by THP-1 cells and human macrophages is regulated by cellular adherence and activation","Shattock R.J., Friedland J.S., Griffin G.E.",0022538X,"Journal of Virology",67, 6,12,1,0,1,2,15
1993,"Cytokines, phagocytosis, and Mycobacterium tuberculosis","Friedland J.S.",02776766,"Lymphokine and Cytokine Research",12, 2,6,0,0,0,0,6
1992,"Secretion of interleukin-8 following phagocytosis of Mycobacterium tuberculosis by human monocyte cell lines","Friedland J.S., Remick D.G., Shattock R., Griffin G.E.",00142980,"European Journal of Immunology",22, 6,57,4,1,5,0,62
1992,"Prolonged elevation of interleukin-8 and interleukin-6 concentrations in plasma and of leukocyte interleukin-8 mRNA levels during septicemic and localized Pseudomonas pseudomallei infection","Friedland J.S., Suputtamongkol Y., Remick D.G., Chaowagul W., Strieter R.M., Kunkel S.L., White N.J., Griffin G.E.",00199567,"Infection and Immunity",60, 6,64,3,4,7,0,71
1992,"Continuous catheter drainage of Streptococcus pneumoniae pericardial effusion","Friedland J.S., Smith S., Ledingham J.G.G.",01410768,"Journal of the Royal Society of Medicine",85, 12,0,0,0,0,0,0
1991,"Exertional fatigue in disorders of muscle.","Friedland J.S., Paterson D.J.",00284793,"New England Journal of Medicine",324, 26,0,0,0,0,0,0
1991,"The Jarisch-Herxheimer reaction in leptospirosis: Possible pathogenesis and review","Friedland J.S., Warrell D.A.",01620886,"Reviews of Infectious Diseases",13, 2,35,1,0,1,1,37
1991,"Tumor necrosis factor in patients with leptospirosis [1]","Estavoyer J.M., Racadot E., Couetdic G., Leroy J., Grosperrin L., Friedland J.S.",01620886,"Reviews of Infectious Diseases",13, 6,19,2,4,6,1,26
1990,"A comparison between intraperitoneal ciprofloxacin and intraperitoneal vancomycin and gentamicin in the treatment of peritonitis associated with continuous ambulatory peritoneal dialysis (CAPD)","Friedland J.S., Iveson T.J., Fraise A.P., Winearls C.G., Selkon J.B., Oliver D.O.",03057453,"Journal of Antimicrobial Chemotherapy",26, ,8,1,0,1,1,10
1990,"Obliterative bronchiolitis and alveolitis associated with sulphamethoxypyridazine (Lederkyn) therapy for linear IgA disease of adults","Godfrey K.M., Wojnarowska F., Friedland J.S.",00070963,"British Journal of Dermatology",123, 1,5,0,0,0,0,5
1990,"Changes in arterial K+ and ventilation during exercise in normal subjects and subjects with McArdle's syndrome","Paterson D.J., Friedland J.S., Bascom D.A., Clement I.D., Cunningham D.A., Painter R., Robbins P.A.",00223751,"Journal of Physiology",429, ,27,1,2,3,1,31
1990,"Alveolitis associated with sulphamethoxypyridazine (I: Reply)","Friedland J.S., Porter J.C., Wojnarowska E., Ledingham J.G.G.",00406376,"Thorax",45, 2,0,0,0,0,0,0
1990,"A chronic granulomatous syndrome of unknown origin","Friedland J.S., Weatherall D.J., Ledingham J.G.G.",00257974,"Medicine",69, 6,12,0,0,0,0,12
1990,"Tumour necrosis factor, steroids, and meningitis","Friedland J., Griffin G.",01406736,"Lancet",335, 8684,0,0,0,0,0,0
1989,"Alveolitis associated with sulphamethoxypyridazine.","Porter J.C., Friedland J.S., Wojnarowska F., Ledingham J.G.",00406376,"Thorax",44, 9,0,0,0,0,0,0
1989,"Peritoneal lavage with mercuric chloride: Toxic and unnecessary","Friedland J.S., Vallance P.J.T.",00071323,"British Journal of Surgery",76, 3,0,0,0,0,0,0
1989,"Hyperkalaemia - Silent and deadly","Newstead C.G., Friedland J., Paterson D., Waise A.",01406736,"Lancet",1, 8652,0,0,0,0,0,0
1989,"The ventilatory response to lowering potassium with dextrose and insulin in subjects with hyperkalaemia","Paterson D.J., Friedland J.S., Oliver D.O., Robbins P.A.",00345687,"Respiration Physiology",76, 3,3,0,0,0,0,3
1989,"Oral metolazone pluse frusemide for home therapy in patients with refractory heart failure","Aravot D.J., Banner N.R., Musumeci F., Fitzgerald M., Madden B., Khaghani A., Yacoub M.H., Friedland J.S., Ledingham J.G.G.",01406736,"Lancet",1, 8640,4,0,0,0,0,4
1988,"Potassium and fatigue","Friedland J., Paterson D.",01406736,"Lancet",2, 8617,4,0,0,0,1,5
1988,"Infectious mononucleosis: A cause of bilateral hilar lymphadenopathy","Friedland J.S., Santis G., Smith M.J.",00325473,"Postgraduate Medical Journal",64, 756,0,0,0,0,0,0
1986,"Pseudomyxoma peritonei","Friedland J.S., Allardice J.T., Wyatt A.P.",01410768,"Journal of the Royal Society of Medicine",79, 8,7,1,1,2,0,9
