2000,"Regulation of steroid sulphatase expression and activity in breast cancer","Newman S.P., Purohit A., Ghilchik M.W., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",75, 4-5,24,1,2,0,3,0,27
2000,"Inhibition of steroid sulphatase activity by tricyclic coumarin sulphamates","Malini B., Purohit A., Ganeshapillai D., Woo L.W.L., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",75, 4-5,35,2,5,0,7,0,42
2000,"Human granulosa cells are a site of sulphatase activity and are able to utilize dehydroepiandrosterone sulphate as a precursor for oestradiol production","Bonser J., Walker J., Purohit A., Reed M.J., Potter B.V.L., Willis D.S., Franks S., Mason H.D.",00220795,"Journal of Endocrinology",167, 3,15,0,1,0,1,0,16
2000,"Influence of hormonal status of patients with cystic disease on the composition of cyst fluid and breast cancer risk","Budai B., Parish D.C., Reed M.J., Szamel I., Sulyok Z., Nemeth M., Bak M., Kralovanszky J., Otto Sz., Besznyak I., Purohit A.",02507005,"Anticancer Research",20, 5 C,4,0,0,1,1,0,5
2000,"Potent active site-directed inhibition of steroid sulphatase by tricyclic coumarin-based sulphamates","Woo L.W.L., Purohit A., Malini B., Reed M.J., Potter B.V.L.",10745521,"Chemistry and Biology",7, 10,82,5,9,2,16,0,98
2000,"Differential effects of estrone and estrone-3-O-sulfamate derivatives on mitotic arrest, apoptosis, and microtubule assembly in human breast cancer cells","MacCarthy-Morrogh L., Townsend P.A., Purohit A., Hejaz H.A.M., Potter B.V.L., Reed M.J., Packham G.",00085472,"Cancer Research",60, 19,46,2,3,3,8,0,54
2000,"In vivo inhibition of estrone sulfatase activity and growth of nitrosomethylurea-induced mammary tumors by 667 COUMATE","Purohit A., Woo L.W.L., Potter B.V.L., Reed M.J.",00085472,"Cancer Research",60, 13,54,3,5,2,10,0,64
2000,"Inhibition of deoxyglucose uptake in MCF-7 breast cancer cells by 2-methoxyestrone and 2-methoxyestrone-3-O-sulfamate","Singh A., Purohit A., Hejaz H.A.M., Potter B.V.L., Reed M.J.",03037207,"Molecular and Cellular Endocrinology",160, 1-2,10,1,1,0,2,0,12
2000,"The effect of 2-methoxyoestrone-3-O-sulphamate on the growth of breast cancer cells and induced mammary tumours","Purohit A., Hejaz H.A.M., Walden L., MacCarthy-Morrogh L., Packham G., Potter B.V.L., Reed M.J.",00207136,"International Journal of Cancer",85, 4,51,1,4,2,7,0,58
2000,"Modulation of oestrone sulphate formation and hydrolysis in breast cancer cells by breast cyst fluid from British and Hungarian women","Purohit A., Budai B., Wang D.Y., Willemsen E.L., De Winkel A., Parish D., Ghilchik M.W., Szamel I., Reed M.J.",00070920,"British Journal of Cancer",82, 2,6,0,0,0,0,0,6
1999,"Coumarin sulphamates as potent non-steroidal oestrone sulphatase inhibitors","Ganeshapillai D., Woo L.W.L., Purohit A., Reed M.J., Potter B.V.L.",00223573,"Journal of Pharmacy and Pharmacology",51, ,0,0,0,0,0,0,0
1999,"Synthesis and biological activity of the superestrogen (E)-17-oximino- 3-O-sulfamoyl-1,3,5(10)-estratriene: X-ray crystal structure of (E)-17- oximino-3-hydroxy-1,3,5(10)-estratriene","Hejaz H.A.M., Purohit A., Mahon M.F., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",42, 16,16,1,1,0,2,0,18
1999,"Inhibition of tumor necrosis factor ?-stimulated aromatase activity by microtubule-stabilizing agents, paclitaxel and 2-methoxyestradiol","Purohit A., Singh A., Ghilchik M.W., Reed M.J.",0006291X,"Biochemical and Biophysical Research Communications",261, 1,26,3,0,0,3,0,29
1999,"The regulation of aromatase activity in breast fibroblasts: The role of interleukin-6 and prostaglandin E2","Singh A., Purohit A., Ghilchik M.W., Reed M.J.",13510088,"Endocrine-Related Cancer",6, 2,45,2,2,1,5,0,50
1999,"Recent advances in the development of steroid sulphatase inhibitors","Purohit A., Hejaz H.A.M., Woo L.W.L., Van Strien A.E., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",69, 1-6,28,0,2,1,3,0,31
1999,"Regulation of steroid sulphatase and oestradiol 17?-hydroxysteroid dehydrogenase in breast cancer","Purohit A., Singh A., Reed M.J.",03005127,"Biochemical Society Transactions",27, 2,8,2,0,0,2,0,10
1999,"The regulation of oestrone sulphate formation in breast cancer cells","Purohit A., De Giovani C.V., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",68, 3-4,8,0,0,0,0,0,8
1998,"Steroidal and nonsteroidal sulfamates as potent inhibitors of steroid sulfatase","Woo L.W.L., Howarth N.M., Purohit A., Hejaz H.A.M., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",41, 7,91,9,4,2,15,0,106
1998,"The development of A-ring modified analogues of oestrone-3-O-sulphamate as potent steroid sulphatase inhibitors with reduced oestrogenicity","Purohit A., Vernon K.A., Wagenaar Hummelinck A.E., Woo L.W.L., Hejaz H.A.M., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",64, 5-6,63,4,7,2,13,0,76
1998,"Steroid sulphatase: Expression, isolation and inhibition for active- site identification studies","Purohit A., Potter B.V.L., Parker M.G., Reed M.J.",00092797,"Chemico-Biological Interactions",109, 1-3,20,0,0,0,0,0,20
1997,"Oestrone 3-O-(N-acetyl)sulphamate, a potential molecular probe of the active site of oestrone sulphatase","Woo L.W.L., Purohit A., Reed M.J., Potter B.V.L.",0960894X,"Bioorganic and Medicinal Chemistry Letters",7, 24,18,2,3,1,6,0,24
1997,"Breast cancer and the role of cytokines in regulating estrogen synthesis: An emerging hypothesis","Reed M.J., Purohit A.",0163769X,"Endocrine Reviews",18, 5,96,2,5,1,8,0,104
1997,"Measurement of oestrone sulphatase activity in white blood cells to monitor in vivo inhibition of steroid sulphatase activity by oestrone-3-O-sulphamate","Purohit A., Froome V.A., Wang D.Y., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",62, 1,13,0,1,0,1,0,14
1997,"Estrone sulfonates as inhibitors of estrone sulfatase","Howarth N.M., Purohit A., Reed M.J., Potter B.V.L.",0039128X,"Steroids",62, 4,27,1,1,1,3,0,30
1997,"Control of aromatase activity in breast tumours: The role of the immune system","Singh A., Purohit A., Duncan L.J., Mokbel K., Ghilchik M.W., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",61, 3-6,33,2,1,0,3,0,36
1997,"Paracrine control of oestrogen production in breast cancer","Purohit A., Duncan L.J., Wang D.Y., Coldham N.G., Ghilchik M.W., Reed M.J.",13510088,"Endocrine-Related Cancer",4, 3,9,0,0,0,0,0,9
1996,"Development of an oral formulation for oestrone 3-O-sulphamate, a potent sulphatase inhibitor","Sahm U.G., Williams G.J., Purohit A., Hidalgo Aragones M.I., Parish D., Reed M.J., Potter B.V.L., Pouton C.W.",13566881,"Pharmaceutical Sciences",2, 1,16,2,0,0,2,0,18
1996,"X-ray crystal structure and mechanism of action of oestrone 3-O-sulphamate, a synthetic active site-directed inhibitor of oestrone sulphatase","Williams G.J., Woo L.W.L., Mahon M.F., Purohit A., Reed M.J., Potter B.V.L.",13566881,"Pharmaceutical Sciences",2, 1,4,1,0,0,1,0,5
1996,"Pharmacokinetics of oestrone-3-?-sulphamate","Hidalgo Aragones M.I., Purohit A., Parish D., Sahm U.G., Pouton C.W., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",58, 5-6,10,0,0,0,0,0,10
1996,"The oestrogen status of postmenopausal women","Reed M.J., Purohit A.",10811672,"Journal of Clinical Ligand Assay",19, 1,0,0,0,0,0,0,0
1996,"In vivo activity of 4-methylcoumarin-7-O-sulfamate, a nonsteroidal, nonestrogenic steroid sulfatase inhibitor","Purohit A., Woo L.W.L., Singh A., Winterborn C.J., Potter B.V.L., Reed M.J.",00085472,"Cancer Research",56, 21,43,0,0,1,1,0,44
1996,"Regulation of aromatase and sulphatase in breast tumour cells","Purohit A., Wang D.Y., Ghilchik M.W., Reed M.J.",00220795,"Journal of Endocrinology",150, ,20,1,0,0,1,0,21
1996,"Regulation and inhibition of steroid sulfatase activity in breast cancer","Purohit A., Reed M.J., Morris N.C., Williams G.J., Potter B.V.L.",00778923,"Annals of the New York Academy of Sciences",784, ,11,0,2,1,3,0,14
1996,"The development of steroid sulphatase inhibitors","Reed M.J., Purohit A., Woo L.W.L., Potter B.V.L.",13510088,"Endocrine-Related Cancer",3, 1,55,1,3,2,6,0,61
1996,"Active site directed inhibition of estrone sulfatase by nonsteroidal coumarin sulfamates [2]","Woo L.W.L., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry",39, 7,57,0,1,1,2,0,59
1996,"Heteroatom-substituted analogues of the active-site directed inhibitor estra-1,3,5(10)-trien-17-one-3-sulphamate inhibit estrone sulphatase by a different mechanism","Woo L.W.L., Lightowler M., Purohit A., Reed M.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",57, 1-2,59,5,4,1,10,0,69
1995,"Inactivation of steroid sulfatase by an active site-directed inhibitor, estrone-S-O-sulfamate","Purohit A., Williams G.J., Howarth N.M., Potter B.V.L., Reed M.J.",00062960,"Biochemistry",34, 36,118,7,3,3,13,0,131
1995,"In vivo inhibition of oestrone sulphatase and dehydroepiandrosterone sulphatase by oestrone-3-O-sulphamate","Purohit A., Williams G.J., Roberts C.J., Potter B.V.L., Reed M.J.",00207136,"International Journal of Cancer",63, 1,68,1,5,2,8,0,76
1995,"Aromatase activity and interleukin-6 production by normal and malignant breast tissues","Purohit A., Ghilchik M.W., Duncan L., Wang D.Y., Singh A., Walker M.M., Reed M.J.",0021972X,"Journal of Clinical Endocrinology and Metabolism",80, 10,121,3,6,0,9,0,130
1995,"Oestrone sulphatase activity in normal and malignant breast tissues: Relationship with tumour location","Chapman O., Purohit A., Wang D.Y., Ghilchik M.W., Reed M.J.",02507005,"Anticancer Research",15, 4,7,0,0,0,0,0,7
1995,"IL-6sR: Release from MCF-7 breast cancer cells and role in regulating peripheral oestrogen synthesis","Singh A., Purohit A., Wang D.Y., Duncan L.J., Ghilchik M.W., Reed M.J.",00220795,"Journal of Endocrinology",147, 2,27,2,1,0,3,0,30
1995,"The role of cytokines and sulphatase inhibitors in regulating oestrogen synthesis in breast tumours","Reed M.J., Purohit A., Duncan L.J., Singh A., Roberts C.J., Williams G.J., Potter B.V.L.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",53, 1-6,31,0,1,0,1,0,32
1994,"Estrone sulfamates: Potent inhibitors of estrone sulfatase with therapeutic potential [2]","Howarth N.M., Purohit A., Reed M.J., Potter B.V.L.",00222623,"Journal of Medicinal Chemistry®",37, 2,141,7,7,4,18,0,159
1994,"Stimulation of aromatase activity in breast fibroblasts by tumor necrosis factor ?","Macdiarmid F., Wang D., Duncan L.J., Purohit A., Ghilchik M.W., Reed M.J.",03037207,"Molecular and Cellular Endocrinology",106, 1-2,71,2,2,0,4,0,75
1994,"Steroid sulphatase inhibitors: A new endocrine therapy","Reed M.J., Purohit A., Howarth N.M., Potter B.V.L.",03778282,"Drugs of the Future",19, 7,32,0,1,0,1,0,33
1994,"The hydrolysis of oestrone sulphate and dehydroepiandrosterone sulphate by human steroid sulphatase expressed in transfected COS-1 cells","Purohit A., Dauvois S., Parker M.G., Potter B.V.L., Williams G.J., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",50, 1-2,37,1,0,0,1,0,38
1994,"Inhibition of steroid sulphatase activity by steroidal methylthiophosphonates: Potential therapeutic agents in breast cancer","Purohit A., Howarth N.M., Potter B.V.L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",48, 5-6,11,0,1,1,2,0,13
1993,"Inhibition of estrone sulfatase activity by estrone-3- methylthiophosphonate: A potential therapeutic agent in breast cancer","Duncan L., Purohit A., Howarth N.M., Potter B.V.L., Reed M.J.",00085472,"Cancer Research",53, 2,67,3,2,2,7,0,74
1993,"Phosphonates and thiophosphonates as sulfate surrogates: Synthesis of estrone 3-methylthiophosphonate, a potent inhibitor of estrone sulfatase","Howarth N.M., Cooper G., Purohit A., Duncan L., Reed M.J., Potter B.V.L.",0960894X,"Bioorganic and Medicinal Chemistry Letters",3, 2,21,0,1,0,1,0,22
1993,"Control of aromatase activity in breast cancer cells: The role of cytokines and growth factors","Reed M.J., Topping L., Coldham N.G., Purohit A., Ghilchik M.W., James V.H.T.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",44, 4-6,89,1,2,1,4,0,93
1992,"Immunochemical specificity of placental NADPH cytochrome c (P-450) reductase in neoplastic and non-neoplastic human tissue","Williams D.A., Purohit A., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",43, 6,0,0,0,0,0,0,0
1992,"Estrogen synthesis by osteoblast cell lines","Purohit A., Flanagan A.M., Reed M.J.",00137227,"Endocrinology",131, 4,62,0,1,2,3,0,65
1992,"Inhibition of oestrogen synthesis in postmenopausal women with breast cancer","James V.H.T., Reed M.J., Purohit A.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",43, 1-3,7,0,0,0,0,0,7
1992,"Oestrogen sulphatase activity in hormone-dependent and hormone-independent breast-cancer cells: Modulation by steroidal and non-steroidal therapeutic agents","Purohit A., Reed M.J.",00207136,"International Journal of Cancer",50, 6,29,1,1,0,2,0,31
1992,"The origin of oestrone sulphate in normal and malignant breast tissues in postmenopausal women","Purohit A., Riaz A.A., Ghilchik M.W., Reed M.J.",00185043,"Hormone and Metabolic Research",24, 11,10,0,0,0,0,0,10
1992,"Modulation of oestrone sulphatase activity in breast cancer cell lines by growth factors","Purohit A., Chapman O., Duncan L., Reed M.J.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",41, 3-8,14,0,0,0,0,0,14
1991,"Regulation of oestradiol 17? hydroxysteroid dehydrogenase in breast tissues: The role of growth factors","Reed M.J., Singh A., Ghilchik M.W., Coldham N.G., Purohit A.",09600760,"Journal of Steroid Biochemistry and Molecular Biology",39, 5 B,24,0,2,0,2,0,26
1990,"Effect of treatment with 4-hydroxyandrostenedione on the peripheral conversion of androstenedione to estrone and in vitro tumor aromatase activity in postmenopausal women with breast cancer","Reed M.J., Lai L.C., Owen A.M., Singh A., Coldham N.G., Purohit A., Ghilchik M.W., Shaikh N.A., James V.H.T.",00085472,"Cancer Research",50, 1,34,1,1,0,2,0,36
1989,"The effect of medroxyprogesterone acetate on aromatase and DNA polymerase ? activities in breast tumours","Purohit A., Lai L.C., Singh A., Coldham N.G., Ghilchik M.W., Reed M.J., James V.H.T.",00224731,"Journal of Steroid Biochemistry",34, 1-6,4,0,0,0,0,0,4
