,"Authors: Firmin, D. M.; Firmin, David N.; Firmin, D. N.",,,,,,,,,,,
1999,"Coronary artery imaging in a 0.5-Tesla scanner: Implementation of real- time, navigator echo-controlled segmented k-space FLASH and interleaved- spiral sequences","Keegan J., Gatehouse P.D., Taylor A.M., Yang G.Z., Jhooti P., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",41, 2,19,0,0,0,0,19
1999,"Automated monitoring of diaphragm end-expiratory position for real-time navigator echo MR coronary angiography","Taylor A.M., Jhooti P., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",9, 3,12,1,1,2,1,15
1999,"Locally focused 3D coronary imaging using volume-selective RF excitation","Yang G.Z., Burger P., Gatehouse P.D., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",41, 1,13,1,2,3,0,16
1999,"Safety preliminary findings with the intravascular contrast agent NC100150 injection for MR coronary angiography","Taylor A.M., Francis J.M., Firmin D.N., Pennell D.J., Panting J.R., Keegan J., Gatehouse P.D., Amin D., Jhooti P., Yang G.Z., McGill S., Burman E.D.",10531807,"Journal of Magnetic Resonance Imaging",9, 2,98,2,2,4,2,104
1998,"Motion and deformation tracking for short-axis echo-planar myocardial perfusion imaging","Yang G.-Z., Burger P., Panting J., Gatehouse P.D., Rueckert D., Pennell D.J., Firmin D.N.",13618415,"Medical Image Analysis",2, 3,16,0,3,3,1,20
1998,"Vortical flow feature recognition: A topological study of in vivo flow patterns using MR velocity mapping","Yang G.-Z., Mohiaddin R.H., Kilner P.J., Firmin D.N.",03638715,"Journal of Computer Assisted Tomography",22, 4,6,3,1,4,0,10
1998,"Combined MRI and CFD analysis of fully developed steady and pulsatile laminar flow through a bend","Weston S.J., Wood N.B., Tabor G., Gosman A.D., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",8, 5,23,0,4,4,0,27
1998,"Comparison of fast spiral, echo planar, and fast low-angle shot MRI for cardiac volumetry at .5T","Wiesmann F., Gatehouse P.D., Panting J.R., Taylor A.M., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",8, 5,13,0,1,1,0,14
1998,"Hybrid ordered phase encoding (HOPE): An improved approach for respiratory artifact reduction","Jhooti P., Wiesmann F., Taylor A.M., Gatehouse P.D., Yang G.Z., Keegan J., Pennell D.J., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",8, 4,31,2,0,2,1,34
1998,"Three-dimensional coronary MR angiography using zonal echo planar imaging","Yang G.Z., Gatehouse P.D., Keegan J., Mohiaddin R.H., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",39, 5,30,0,1,1,1,32
1998,"Myocardial perfusion imaging by MR: Optimisation of multislice single shot echo-planar imaging at 0.5T","Panting J.R., Gatehouse P.D., Yang G.Z., Firmin D.N., Pennell D.J.",13556037,"Heart",79, 1,0,0,0,0,0,0
1998,"Id-based lung MRI at 0.5 T: Theoretical considerations and practical implications","Schmidt M.A., Yang G.-Z., Gatehouse P.D., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",39, 4,11,2,1,3,0,14
1997,"Motion analysis for Magnetic Resonance myocardial perfusion imaging","Yang G.Z., Gatehouse P.D., Panting J., Burger P., Pennell D.J., Firmin D.N.",05379989,"IEE Conference Publication",, 443,0,0,0,0,0,0
1997,"Blood flow patterns in the thoracic aorta studied with three-directional MR velocity mapping: The effects of age and coronary artery disease","Bogren H.G., Mohiaddin R.H., Kilner P.J., Jimenez-Borreguero L.J., Yang G.Z., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",7, 5,19,3,2,5,6,30
1997,"Non-breath-hold lung magnetic resonance imaging with real-time navigation","Schmidt M.A., Yang G.Z., Keegan J., Jhooti P., Gatehouse P.D., Carr D.H., Hansell D.M., Firmin D.N.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",5, 2,6,0,0,0,0,6
1997,"Cine MR Fourier velocimetry of blood flow through cardiac valves: Comparison with Doppler echocardiography","Mohiaddin R.H., Gatehouse P.D., Henien M., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",7, 4,14,2,3,5,1,20
1997,"MR navigator-echo monitoring of temporal changes in diaphragm position: Implications for MR coronary angiography","Taylor A.M., Jhooti P., Wiesmann F., Keegan J., Firmin D.N., Pennell D.J.",10531807,"Journal of Magnetic Resonance Imaging",7, 4,85,4,4,8,6,99
1997,"Accuracy of ultrafast magnetic resonance imaging for assessment of right and left ventricular volume and mass","Wiesmann F., Gatehouse P.D., Jhooti P., Keegan J., Firmin D.N., Pennell D.J.",13556037,"Heart",77, 1,0,0,0,0,0,0
1997,"Cinemagnetic resonance Fourier velocimetry of blood flow through cardiac valves: Comparison with Doppler echocardiography","Mohiaddin R.H., Gatehouse P.D., Henien M., Firmin D.N., Pennell D.J.",13556037,"Heart",77, 1,0,0,0,0,0,0
1997,"Adenosine stress myocardial perfusion imaging using echo-planar MRI with a 0.5T scanner","Panting J.R., Gatehouse P.D., Yang G.Z., Wiesmann F.W., Firmin D.N., Pennell D.J.",13556037,"Heart",77, 1,0,0,0,0,0,0
1996,"Repaired aortic coarctation in adults - Magnetic resonance imaging with velocity mapping shows distortions of anatomy and flow","Kilner P.J., Shinohara T., Sampson C., Mohiaddin R.H., Firmin D.N., Somerville J.",10479511,"Cardiology in the Young",6, 1,4,1,0,1,0,5
1996,"Magnetic resonance coronary angiography in heart transplant recipients","Mohiaddin R.H., Bogren H.G., Lazim F., Keegan J., Gatehouse P.D., Barbir M., Firmin D.N., Yacoub M.H.",09546928,"Coronary Artery Disease",7, 8,22,0,0,0,0,22
1996,"Computation of flow pressure fields from magnetic resonance velocity mapping","Yang G.-Z., Kilner P.J., Wood N.B., Underwood S.R., Firmin D.N.",07403194,"Magnetic Resonance in Medicine",36, 4,22,6,2,8,3,33
1996,"A comparison of left ventricular myocardial velocity in diastole measured by magnetic resonance and left ventricular filling measured by Doppler echocardiography","Karwatowski S.P., Brecker S.J.D., Yang G.Z., Firmin D.N., Sutton R.S.J., Underwood S.R.",0195668X,"European Heart Journal",17, 5,20,2,0,2,2,24
1996,"Dynamic range extension of cine velocity measurements using motion-registered spatiotemporal phase unwrapping","Yang G.Z., Burger P., Kilner P.J., Karwatowski S.P., Firmin D.N.",10531807,"Journal of Magnetic Resonance Imaging",6, 3,13,2,1,3,0,16
1996,"Structure adaptive anisotropic image filtering","Yang G.Z., Burger P., Firmin D.N., Underwood S.R.",02628856,"Image and Vision Computing",14, 2,29,7,9,16,2,47
1996,"Assessment of coronary artery stenosis by magnetic resonance imaging","Pennell D.J., Bogren H.G., Keegan J., Firmin D.N., Underwood S.R.",13556037,"Heart",75, 2,124,5,2,7,0,131
1995,"Measurement of regional aortic compliance by MR imaging: a study of reproducibility.","Forbat S.M., Mohiaddin R.H., Yang G.Z., Firmin D.N., Underwood S.R.",10531807,"Journal of magnetic resonance imaging : JMRI",5, 6,13,0,0,0,1,14
1995,"Magnetic resonance velocity vector mapping of blood flow in thoracic aortic aneurysms and grafts","Bogren H.G., Mohiaddin R.H., Yang G.Z., Kilner P.J., Firmin D.N.",00225223,"Journal of Thoracic and Cardiovascular Surgery",110, 3,14,6,3,9,6,29
1995,"Exercise-related changes in aortic flow measured with spiral echo-planar MR velocity mapping.","Mohiaddin R.H., Gatehouse P.D., Firmin D.N.",10531807,"Journal of magnetic resonance imaging : JMRI",5, 2,14,0,0,0,0,14
1995,"Mitral valve flow measured with cine MR velocity mapping in patients with ischemic heart disease: comparison with Doppler echocardiography.","Karwatowski S.P., Brecker S.J., Yang G.Z., Firmin D.N., Sutton M.S., Underwood S.R.",10531807,"Journal of magnetic resonance imaging : JMRI",5, 1,17,2,2,4,2,23
1995,"Assessment of magnetic resonance velocity mapping of global ventricular function during dobutamine infusion in coronary artery disease","Pennell D.J., Longmore D.B., Firmin D.N., Burger P., Yang G.Z., Manzara C.C., Ell P.J., Swanton R.H., Walker J.M., Underwood S.R.",00070769,"British Heart Journal",74, 2,15,1,0,1,0,16
1995,"Structure adaptive anisotropic filtering","Yang G.Z., Burger P., Firmin D.N., Underwood S.R., Longmore D.B.",05379989,"IEE Conference Publication",, 410,0,0,0,0,0,0
1994,"Functional evaluation in congenital and acquired heart disease","Longmore D.B., Firmin D.M., Keegan J., Yang G.Z., Gatehouse P., Underwood S.R.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",2, 3,0,0,0,0,0,0
1994,"Velocity mapping of coronary artery blood flow","Keegan J., Firmin D., Gatehouse P., Longmore D.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",2, 3,0,0,0,0,0,0
1994,"Magnetic resonance imaging of coronary arteries and coronary stenosis","Pennell D.J., Bogren H.G., Keegan J., Firmin D.N., Underwood S.R.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",2, 3,1,0,0,0,0,1
1994,"Magnetic resonance velocity vector mapping in aortic aneurysms","Mohiaddin R.H., Bogren H.G., Yang G.Z., Kilner P.J., Firmin D.N.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",2, 3,0,0,0,0,0,0
1994,"Short-echo-time magnetic resonance phase-shift velocity mapping for assessment of heart valve and great vessel stenoses: Three years' experience","Kilner P.J., Firmin D.N., Mohiaddin R.H., Sampson C., Underwood S.R.",13528661,"Magnetic Resonance Materials in Physics, Biology, and Medicine",2, 3,0,0,0,0,0,0
1994,"Assessment of regional left ventricular long-axis motion with MR velocity mapping in healthy subjects.","Karwatowski S.P., Mohiaddin R., Yang G.Z., Firmin D.N., Sutton M.S., Underwood S.R., Longmore D.B.",10531807,"Journal of magnetic resonance imaging : JMRI",4, 2,25,4,0,4,2,31
1994,"The application of breath hold phase velocity mapping techniques to the measurement of coronary artery blood flow velocity: Phantom data and initial in vivo results","Keegan J., Firmin D., Gatehouse P., Longmore D.",07403194,"Magnetic Resonance in Medicine",31, 5,58,0,0,0,0,58
1994,"Regional myocardial velocity imaged magnetic resonance in patients with ischaemic heart disease","Kanvatowski S.P., Mohiaddin R.H., Yang G.Z., Firmin D.N., St. John Sutton M., Underwood S.R.",00070769,"British Heart Journal",72, 4,22,0,1,1,1,24
1994,"Real time blood flow imaging by spiral scan phase velocity mapping","Gatehouse P.D., Firmin D.N., Collins S., Longmore D.B.",07403194,"Magnetic Resonance in Medicine",31, 5,44,3,1,4,0,48
1994,"Technical note: Rapid measurement of left ventricular mass by spin echo magnetic resonance imaging","Forbat S.M., Karwatowski S.P., Gatehouse P.D., Firmin D.N., Longmore D.B., Underwood S.R.",00071285,"British Journal of Radiology",67, 793,8,1,0,1,1,10
1993,"Rapid 7-dimensional imaging of pulsatile flow","Firmin D.N., Gatehouse P.D., Konrad J.P., Yang G.Z., Kilner P.J., Longmore D.B.",02766574,"Computers in Cardiology",, ,1,0,1,1,0,2
1993,"Exploiting distributed medical image database systems - general considerations and implementation experience","Yang G.Z., Burger P., Underwood S.R., Firmin D.N., Longmore D.B.",02766574,"Computers in Cardiology",, ,0,0,0,0,0,0
1993,"3D cine velocity reconstruction using the method of convex projections","Yang G.Z., Kilner P.J., Firmin D.N., Underwood S.R., Burger P., Longmore D.B.",02766574,"Computers in Cardiology",, ,2,0,0,0,0,2
1993,"Age-related changes of human aortic flow wave velocity measured noninvasively by magnetic resonance imaging","Mohiaddin R.H., Firmin D.N., Longmore D.B.",01617567,"Journal of Applied Physiology",74, 1,57,7,8,15,2,74
1993,"Helical and retrograde secondary flow patterns in the aortic arch studied by three-directional magnetic resonance velocity mapping","Kilner P.J., Yang G.Z., Mohiaddin R.H., Firmin D.N., Longmore D.B.",00097322,"Circulation",88, 5 I,102,12,7,19,16,137
1993,"Magnetic resonance jet velocity mapping in mitral and aortic valve stenosis","Kilner P.J., Manzara C.C., Mohiaddin R.H., Pennell D.J., Sutton M.G.S.J., Firmin D.N., Underwood S.R., Longmore D.B.",00097322,"Circulation",87, 4,52,6,4,10,4,66
1993,"Magnetic resonance imaging of coronary arteries: Technique and preliminary results","Pennell D.J., Keegan J., Firmin D.N., Gatehouse P.D., Underwood S.R., Longmore D.B.",00070769,"British Heart Journal",70, 4,125,3,1,4,1,130
1992,"Automatic enhancement, animation, and segmentation of flow in peripheral arteries from MR phase-shift velocity mapping","Mohiaddin R.H., Yang G.-Z., Burger P., Firmin D.N., Longmore D.B.",03638715,"Journal of Computer Assisted Tomography",16, 2,8,1,0,1,0,9
1991,"Magnetic resonance imaging: A method for the assessment of changes in vascular structure and function","Firmin D.N., Mohiaddin R.H., Underwood S.R., Longmore D.B.",09509240,"Journal of Human Hypertension",5, 1,3,0,0,0,0,3
1991,"Magnetic resonance characterization of pulmonary arterial blood flow after single lung transplantation","Mohiaddin R.H., Paz R., Theodoropoulus S., Firmin D.N., Longmore D.B., Yacoub M.H.",00225223,"Journal of Thoracic and Cardiovascular Surgery",101, 6,14,1,1,2,1,17
1991,"Valve and great vessel stenosis: Assessment with MR jet velocity mapping","Kilner P.J., Firmin D.N., Rees R.S.O., Martinez J., Pennell D.J., Mohiaddin R.H., Underwood S.R., Longmore D.B.",00338419,"Radiology",178, 1,78,3,1,4,3,85
1991,"Diagnosis of femoral arteriovenous fistula by MR imaging with velocity mapping","Mohiaddin R.H., Lowell D.G., Underwood R.S., Firmin D.N., Rees S., Longmore D.B.",03638715,"Journal of Computer Assisted Tomography",15, 4,2,0,0,0,0,2
1991,"Magnetic resonance morphological, chemical shift and flow imaging in peripheral vascular disease","Mohiaddin R.H., Sampson C., Firmin D.N., Longmore D.B.",0950821X,"European Journal of Vascular Surgery",5, 4,12,1,0,1,0,13
1990,"Inotropic ""A"" ring substituted sulmazole and isomazole analogues","Barraclough P., Hull R.A.D., Iyer R., King W.R., Kneen C.O., Lindon J.C., Nobbs M.S., Randall P., Shah G.P., Smith S., Vine S.J., Black J.W., Whiting M.V., Williams J.M., Cambridge D., Collard D., Firmin D., Gerskowitch V.P., Glen R.C., Giles H., Hill A.P.",00222623,"Journal of Medicinal Chemistry",33, 8,8,0,1,1,1,10
1990,"Magnetic resonance velocity mapping","Underwood S.R., Firmin D.N., Rees R.S.O., Longmore D.B.",01430815,"Clinical Physics and Physiological Measurement",11, 4A,6,0,0,0,0,6
1990,"The application of phase shifts in NMR for flow measurement","Firmin D.N., Nayler G.L., Kilner P.J., Longmore D.B.",07403194,"Magnetic Resonance in Medicine",14, 2,82,7,5,12,5,99
1990,"Vena caval flow: Assessment with cine MR velocity mapping","Mohiaddin R.H., Wann S.L., Underwood R., Firmin D.N., Rees S., Longmore D.B.",00338419,"Radiology",177, 2,36,3,0,3,1,40
1989,"Echo-planar high-resolution flow velocity mapping","Firmin D.N., Klipstein R.H., Hounsfield G.L., Paley M.P., Longmore D.B.",07403194,"Magnetic Resonance in Medicine",12, 3,28,1,0,1,0,29
1989,"Chemical shift magnetic resonance imaging of human atheroma","Mohiaddin R.H., Firmin D.N., Underwood S.R., Abdulla A.K., Klipstein R.H., Rees R.S.O., Longmore D.B.",00070769,"British Heart Journal",62, 2,17,0,0,0,0,17
1989,"Pulmonary artery distensibility and blood flow patterns: A magnetic resonance study of normal subjects and of patients with pulmonary arterial hypertension","Bogren H.G., Klipstein R.H., Mohiaddin R.H., Firmin D.N., Underwood S.R., Rees R.S.O., Longmore D.B.",00028703,"American Heart Journal",118, 5 I,45,8,5,13,4,62
1989,"Regional aortic compliance studied by magnetic resonance imaging: The effects of age, training, and coronary artery disease","Mohiaddin R.H., Underwood S.R., Bogren H.G., Firmin D.N., Klipstein R.H., Rees R.S.O., Longmore D.B.",00070769,"British Heart Journal",62, 2,112,0,11,11,5,128
1989,"The function of the aorta in ischemic heart disease: A magnetic resonance and angiographic study of aortic compliance and blood flow patterns","Bogren H.G., Mohiaddin R.H., Klipstein R.K., Firmin D.N., Underwood R.S., Rees S.R., Longmore D.B.",00028703,"American Heart Journal",118, 2,50,3,5,8,2,60
1989,"Application of flow measurements by magnetic resonance velocity mapping to congenital heart disease","Rees S., Firmin D., Mohiaddin R., Underwood R., Longmore D.",00029149,"American Journal of Cardiology",64, 14,26,1,0,1,0,27
1989,"Quantitation of antegrade and retrograde blood flow in the human aorta by magnetic resonance velocity mapping","Bogren H.G., Klipstein R.H., Firmin D.N., Mohiaddin R.H., Underwood S.R., Rees R.S.O., Longmore D.B.",00028703,"American Heart Journal",117, 6,40,4,2,6,4,50
1989,"MR tomography flow measurement in cerebral arteriovenous angioma | KERNSPINTOMOGRAPHISCHE FLUSSMESSUNG BEI EINEM ZEREBRALEN ARTERIOVENOSEN ANGIOM","Huber M., Longmore D.B., Firmin D.N., Assheuer J., Bewermeyer H., Heiss W.D.",07247591,"Digitale Bilddiagnostik",9, 1,0,0,0,0,0,0
1988,"Protonation equilibria of cardiotonic polyaza heterocycles","Barraclough P., Firmin D., Iyer R., King W.R., Lindon J.C., Nobbs M.S., Smith S., Wharton C.J., Williams J.M.",1472779X,"Journal of the Chemical Society, Perkin Transactions 2",, 10,1,0,0,0,0,1
1988,"Left ventricular volume measured rapidly by oblique magnetic resonance imaging","Underwood S.R., Gill C.R.W., Firmin D.N., Klipstein R.H., Mohiaddin R.H., Rees R.S.O., Longmore D.B.",00070769,"British Heart Journal",60, 3,19,0,0,0,0,19
1988,"Comparison of magnetic resonance imaging with echocardiography and radionuclide angiography in assessing cardiac function and anatomy following Mustard's operation for transposition of the great arteries","Rees S., Somerville J., Warnes C., Underwood R., Firmin D., Klipstein R., Longmore D.",00029149,"American Journal of Cardiology",61, 15,21,2,2,4,2,27
1988,"Magnetic resonance velocity mapping in aortic dissection","Bogren H.G., Underwood S.R., Firmin D.N., Mohiaddin R.H., Klipstein R.H., Rees R.S.O., Longmore D.B.",00071285,"British Journal of Radiology",61, 726,7,1,0,1,0,8
1987,"Magnetic resonance imaging of the pulmonary arteries and their systemic connections in pulmonary atresia: Comparison with angiographic and surgical findings","Rees R.S.O., Somerville J., Underwood S.R., Wright J., Firmin D.N., Klipstein R.H., Longmore D.B.",00070769,"British Heart Journal",58, 6,30,1,0,1,0,31
1987,"Magnetic resonance velocity mapping: Clinical application of a new technique","Underwood S.R., Firmin D.N., Klipstein R.H.",00070769,"British Heart Journal",57, 5,32,5,4,9,1,42
1987,"Colour display of quantitative blood flow and cardiac anatomy in a single magnetic resonance cine loop","Klipstein R.H., Firmin D.N., Underwood S.R.",00071285,"British Journal of Radiology",60, 1,1,0,0,0,0,1
1987,"In vivo validation of MR velocity imaging","Firmin D.N., Nayler G.L., Klipstein R.H., Underwood S.R., Rees R.S.O., Longmore D.B.",03638715,"Journal of Computer Assisted Tomography",11, 5,106,11,6,17,4,127
1987,"Blood flow patterns in the human aorta studied by magnetic resonance","Klipstein R.H., Firmin D.N., Underwood S.R., O Rees R.S., Longmore D.B.",00070769,"British Heart Journal",58, 4,35,3,4,7,1,43
1986,"Magnetic resonance assessment of aortic and mitral regurgitation","Underwood S.R., Klipstein R.H., Firmin D.N.",00070769,"British Heart Journal",56, 5,10,2,0,2,1,13
1986,"Blood flow imaging by cine magnetic resonance","Nayler G.L., Firmin D.N., Longmore D.B.",03638715,"Journal of Computer Assisted Tomography",10, 5,166,11,7,18,6,190
1984,"Measurement of flow with NMR imaging using a gradient pulse and phase difference technique","Bryant D.J., Payne J.A., Firmin D.N., Longmore D.B.",03638715,"Journal of Computer Assisted Tomography",8, 4,110,6,7,13,8,131
1981,"CONDUCTIMETRIC TYPE CARBON DIOXIDE SENSOR INTENDED FOR TRANSCUTANEOUS BLOOD GAS ANALYSERS.","Hawkins P., Firmin D.N.",,"",1, ,0,0,0,0,0,0
