,"Authors: Hodes, Matthew; Hodes, Matthew; Hodes, Matthew Edward; Hodes, Matthew",,,,,,,,,,,
1984,"Linkage analysis in a large kindred with autosomal dominant transmission of polyglandular autoimmune disease type II (Schmit syndrome)","Butler M.G., Hodes M.E., Conneally P.M.",01487299,"American Journal of Medical Genetics",18, 1,6,1,1,2,0,8
1984,"Human amylase gene organization","Handy D.E., Larsen S.L., Karn R.C., Hodes M.E.",00149446,"Federation Proceedings",43, 6,0,0,0,0,0,0
1983,"Immunohistochemical demonstration of ribonuclease and amylase in normal and neoplastic parotid glands","Morley D.J., Hodes J.E., Calland J., Hodes M.E.",00468177,"Human Pathology",14, 11,8,0,0,0,0,8
1983,"Comparative teratogenicity of phenytoin among several inbred strains of mice","Hansen D.K., Hodes M.E.",00403709,"Teratology",28, 2,8,0,0,0,0,8
1983,"The synthesis of 4-methylumbelliferyl phenylphosphonate and its use in an improved method for the zymogram analysis of phosphodiesterase I","Hawley C.M., Crisp M., Hodes M.E.",00032697,"Analytical Biochemistry",129, 2,1,0,0,0,0,1
1983,"Tissue specificity of human phosphodiesterase. I. Blood serum","Hawley D.M., Crisp M., Hodes M.E.",00098981,"Clinica Chimica Acta",130, 1,1,0,0,0,0,1
1983,"Metabolism of phenytoin in teratogenesis-susceptible and -resistant strains of mice","Hansen D.K., Hodes M.E.",00909556,"Drug Metabolism and Disposition",11, 1,3,0,0,0,0,3
1983,"Tissue specificity of human phosphodiesterase. II. Intestinal mucosa","Hawley D.M., Crisp M., Hodes M.E.",00098981,"Clinica Chimica Acta",130, 1,1,1,0,1,0,2
1983,"Immunohistochemical demonstration of altered functional differentiation of pancreatic tissue in sacrococcygeal teratomas","Hodes J.E., Hull M.T., Mirkin L.D., Hodes M.E.",00468177,"Human Pathology",14, 8,0,0,0,0,0,0
1983,"Immunologic studies of three family members with the immunodeficiency with hyper-IgM syndrome","Brahmi Z., Lazarus K.H., Hodes M.E., Baehner R.L.",02719142,"Journal of Clinical Immunology",3, 2,8,0,0,0,0,8
1983,"Brief clinical report: Prune belly syndrome in an anencephalic male","Hodes M.E., Butler M.G., Keitges E.A.",01487299,"American Journal of Medical Genetics",14, 1,0,0,0,0,0,0
1982,"The dermatoglyphic and clinical features of the 9p trisomy and partial 9p monosomy syndromes","Young R.S., Reed T., Hodes M.E., Palmer C.G.",03406717,"Human Genetics",62, 1,25,3,1,4,1,30
1982,"Unmasking factitious hyperamylasuria.","Karn R.C., Wise R.J., Hodes M.E.",00284793,"New England Journal of Medicine",307, 14,0,0,0,0,0,0
1981,"Preparation, properties, and uses of two fluorogenic substrates for the detection of 5'- (Venom) and 3'- (Spleen) nucleotide phosphodiesterases","Hawley D.M., Tsou K.C., Hodes M.E.",00032697,"Analytical Biochemistry",117, 1,0,0,0,0,0,0
1981,"Trisomy 7 mosaicism and manifestations of Goldenhar syndrome with unilateral radial hypoplasia","Hodes M.E., Gleiser S., DeRosa G.P.",02704145,"Journal of Craniofacial Genetics and Developmental Biology",1, 1,19,4,4,8,0,27
1981,"Anomalous electrophoretic behavior of ribonuclease from human urine and a novel treatment method for reliable analysis","Thomas J.M., Hodes M.E.",01730835,"Electrophoresis",2, 2,0,0,0,0,0,0
1981,"A new discontinuous buffer system for the electrophoresis of cationic proteins at near-neutral pH","Thomas J.M., Hodes M.E.",00032697,"Analytical Biochemistry",118, 1,16,0,1,1,0,17
1981,"A simple photographic method for demonstration of skeletal features in teratological studies","Hansen D.K., Hodes M.E.",02704145,"Journal of Craniofacial Genetics and Developmental Biology",1, 1,1,0,0,0,0,1
1981,"Correction of the anomalous electrophoretic behavior of ribonuclease A","Thomas J.M., Hodes M.E.",00144754,"Experientia",37, 5,0,0,0,0,0,0
1981,"A positive zymogram for distinguishing among RNase and phosphodiesterases I and II","Hodes M.E., Retz J.E.",00032697,"Analytical Biochemistry",110, 1,0,0,0,0,0,0
1981,"Study of two cases of ring 13 chromosome using high-resolution banding","Jones I.M., Palmer C.G., Weaver D.D., Hodes M.E.",00029297,"American Journal of Human Genetics",33, 2,3,1,0,1,0,4
1981,"Isozymes of ribonuclease in human serum and urine. II. A survey of patients with cystic fibrosis","Thomas J.M., Eigen H., Hodes M.E.",00098981,"Clinica Chimica Acta",111, 2-3,0,0,0,0,0,0
1981,"Isozymes of ribonuclease in human serum and urine. I. Methodology and a survey of a control population","Thomas J.M., Hodes M.E.",00098981,"Clinica Chimica Acta",111, 2-3,2,0,0,0,0,2
1980,"Ribonuclease isozymes in serum and urine from cystic fibrosis patients","Thomas J.M., Eigen H., Hodes M.E.",,"Cystic Fibrosis Club Abstracts",21, ,0,0,0,0,0,0
1980,"Transmission of balanced homologous t(22q;22q) translocation from mother to normal daughter","Palmer C.G., Schwartz S., Hodes M.E.",00099163,"Clinical Genetics",17, 6,20,2,2,4,0,24
1979,"A positive zymogram method for ribonuclease","Karn R.C., Crisp M., Yount E.A., Hodes M.E.",00032697,"Analytical Biochemistry",96, 2,1,0,0,0,0,1
1978,"Two generations of esophageal atresia with tracheoesophageal fistula: mother and daughter","Sisk C.J., Hodes M.E., Bixler D., Grosfeld J.L.",05476844,"Birth Defects: Original Article Series",14, 6 B,0,0,0,0,0,0
1978,"Two-stage methods for alkaline-range analytical isoelectric focusing in thin-layer polyacrylamide gel: application to cationic proteins in serum","Thomas J.M., Hodes M.E.",00032697,"Analytical Biochemistry",90, 2,0,0,0,0,0,0
1978,"Trisomy 18 (29 cases) and trisomy 13 (19 cases): A summary","Hodes M.E., Cole J., Palmer C.G., Reed T.",05476844,"Birth Defects: Original Article Series",14, 6 C,3,0,0,0,0,3
1978,"The utilization of a written family history questionnaire in genetic counseling","Cole J., Conneally M.P., Hodes M.E., Merritt A.D.",05476844,"Birth Defects: Original Article Series",14, 6 B,0,0,0,0,0,0
1978,"Microcephaly and the caudal regression anomalad","Sisk C.J., Hodes M.E., Weaver D.D.",05476844,"Birth Defects: Original Article Series",14, 6 B,0,0,0,0,0,0
1978,"Genetic family history questionnaire","Cole J., Conneally P.M., Hodes M.E., Merritt A.D.",00222593,"Journal of Medical Genetics",15, 1,6,0,0,0,0,6
1978,"Branchio-oto-renal dysplasia and branchio-oto dysplasia: Two distinct autosomal dominant disorders","Melnick M., Hodes M.E., Nance W.E.",00099163,"Clinical Genetics",13, 5,27,1,0,1,0,28
1978,"Clinical experience with trisomies 18 and 13","Hodes M.E., Cole J., Palmer C.G., Reed T.",00222593,"Journal of Medical Genetics",15, 1,13,2,1,3,0,16
1977,"Electrophoretic analysis of serum proteins in cystic fibrosis","Thomas J.M., Merritt A.D., Hodes M.E.",00313998,"Pediatric Research",11, 11,0,0,0,0,0,0
1977,"Pachyonychia congenita and steatocystoma multiplex","Hodes M.E., Norins A.L.",00099163,"Clinical Genetics",11, 5,6,0,0,0,0,6
1977,"Electrophoretic analysis of serum proteins in cystic fibrosis.","Thomas J.M., Merritt A.D., Hodes M.E.",00313998,"Pediatric Research",11, 2,0,0,0,0,1,1
1977,"Four new cases of ring 21 and 22 including familial transmission of ring 21","Palmer C.G., Hodes M.E., Reed T., Kojetin J.",00222593,"Journal of Medical Genetics",14, 1,4,0,0,0,0,4
1977,"Electrophoresis of acid phosphohydrolase isozymes on cellogel","Hodes M.E., Crisp M., Gelb E.",00032697,"Analytical Biochemistry",80, 1,0,0,0,0,0,0
1976,"A questionnaire for genetic data acquisition | FIFTH INTERNATIONAL CONGRESS OF HUMAN GENETICS","Cole J.M., Conneally P.M., Hodes M.E., Merritt A.D.",,"EXCERPTA MED.,AMSTERDAM,I.C.S.",397, ,0,0,0,0,0,0
1976,"Isoelectric focusing patterns of several acid phosphohydrolases of beef, pig and human spleen","Hodes M.E., Ki Song M., Karn R.C.",0010406X,"Comparative Biochemistry and Physiology",54, 1 B,0,0,0,0,0,0
1976,"Phosphoribosyl aminoimidazole carboxamide formyltransferase activities in Morris hepatomas","Worzalla J.F., Sweeney M.J., Hodes M.E.",,"Proceedings of the American Association for Cancer Research",17, ,0,0,0,0,0,0
1976,"Properties of human parotid amylase immobilized by covalent binding to glass or sepharose or by reaction with immobilized antibody","Hodes M.E., Glier J.T.",01460641,"Journal of Solid-Phase Biochemistry",1, 3,0,0,0,0,0,0
1975,"Do brine shrimp diagnose cystic fibrosis?","Hodes M.E., Thomas J., Morgan S., Merritt A.D.",00313998,"Pediatric Research",9, 11,0,0,0,0,0,0
1975,"Studies on the reproducibility of glass bead antibody affinity columns","Hodes M.E., Glier J.T.",00219673,"Journal of Chromatography A",104, 2,0,0,0,0,0,0
1975,"Culture of isolated renal tubules: a method of assessing viability of normal and damaged cells","Ash S.R., Cuppage F.E., Hodes M.E., Selkurt E.E.",00852538,"Kidney International",7, 1,1,1,0,1,1,3
1974,"An evaluation of differential methylation of ribonucleic acid in cystic fibrosis","Hodes M.E., Merritt A.D., Glier J.T.",00313998,"Pediatric Research",8, 3,0,0,0,0,0,0
1974,"Transcription products synthesized by purified calf thymus DNA-dependent RNA polymerase on Shope papilloma virus DNA","Kaplan L.A., Hodes M.E.",00144754,"Experientia",30, 4,0,0,0,0,0,0
1973,"Mechanism of Shope fibroma virus induced suppression of host deoxyribonucleic acid synthesis","Chan J.C., Hodes M.E.",00199567,"Infection and Immunity",7, 4,0,0,0,0,0,0
1973,"Antibody affinity chromatography of hog and bovine spleen DNase II","Ryder Jr K.W., Hodes M.E.",,"Journal of Chromatography",80, 1,0,0,0,0,0,0
1973,"Immunochemical relationships among lysosomal acid phosphohydrolases: DNase II and nonspecific phosphodiesterase","Ryder Jr K.W., Hodes M.E.",00144754,"Experientia",29, 11,0,0,0,0,0,0
1973,"Tissue culture and animal studies with an oncolytic bovine enterovirus (bovine enterovirus 1).","Hodes M.E., Morgan S., Hubbard J.D., Yu P.L., Lukemeyer J.W.",00085472,"Cancer Research",33, 10,0,1,0,1,0,1
1972,"The radiation leukemia protection(RLP) activity of some Cohn fractions of serum.","Hodes M.E., Yip L.C., Lewis W.W., Yu P.L., Hubbard J.D., Crisp M.",00302414,"Oncology",26, 5,0,0,0,0,0,0
1971,"Solubilization from filter discs as an aid in counting tritiated DNA","Hodes M.E., Kaplan L.A., Yu P.-L.",00032697,"Analytical Biochemistry",43, 2,0,0,0,0,0,0
1970,"Inhibition of Shope fibroma virus replication by polyriboinosinic acid: polyribocytidylic acid.","Chan J.C., Zavela D.A., Hodes M.E.",00379727,"Proceedings of the Society for Experimental Biology and Medicine",134, 3,0,0,0,0,0,0
1970,"Trypsin esterase binding and its relation to the radiation-leukemia protection (RLP) factor.","Yip L.C., Hodes M.E.",00379727,"Proceedings of the Society for Experimental Biology and Medicine",133, 4,0,0,0,0,0,0
1969,"Some effects of serum on peripheral leukocyte count and mouse thymus after exposure to x-ray.","Hodes M.E., Yip L.C., Yu P.L.",00379727,"Proceedings of the Society for Experimental Biology and Medicine",132, 2,0,0,0,0,0,0
1969,"Fractionation of spleen and serum in attempts to isolate the radiation-leukemia protection factor.","Clewell D.B., Hubbard J.D., Yu P.L., Yip L.C., Hodes M.E.",00085472,"Cancer Research",29, 7,0,0,0,0,0,0
1969,"The separation of the phosphodiesterase and deoxyribonuclease II activities of bovine spleen.","Swenson M.K., Hodes M.E.",00219258,"Journal of Biological Chemistry",244, 7,1,0,0,0,0,1
1968,"Changes in the enzyme levels of mouse organs after leukemogenic doses of x-ray and treatment with radiation leukemia protection factor.","Yip L.C., Blair N., Yu P.L., Hodes M.E.",00212180,"Israel Journal of Medical Sciences",4, 6,0,0,0,0,0,0
1968,"The deoxyribonucleic acid nucleotidyltransferase activities of the Shope fibroma. Partial purification and kinetics.","Chang L.M., Hodes M.E.",00219258,"Journal of Biological Chemistry",243, 20,0,0,0,0,0,0
1967,"The purification and properties of mouse liver deoxyribonuclease II.","Hodes M.E., Yip L.C., Santos F.R.",00139424,"Enzymologia",32, 4,0,0,0,0,0,0
1966,"Some studies on oncogenic effects of human tumor preparations in mice.","Hodes M.E., Palmer C.G., Hubbard J.D.",00302414,"Oncology",20, 1,0,0,0,0,0,0
1966,"Prevention of x-ray-induced leukemia in mice. I. Action of a radiation leukemia protection factor in several mouse strains following leukemogenic or sublethal doses of x-ray.","Hodes M.E., Clewell D.B., Hubbard J.D., Yu P.L.",00085472,"Cancer Research",26, 8,0,0,0,0,0,0
1966,"Treatment of neoplastic diseases with an improvedoral preparation of vinblastine sulfate.","Bond W.H., Rohn R.J., Bates L.H., Hodes M.E.",0008543X,"Cancer",19, 2,0,0,0,0,0,0
1965,"Attempts to isolate virus from x-ray induced leukemias in the mouse.","Hodes M.E., Palmer C.G., Hubbard J.D.",03697606,"Oncologia",19, 4,0,0,0,0,0,0
1964,"A factor ('RLP') from sheep spleen which inhibits radiation leukæmogenesis in mice","Berenblum I., Cividalli G., Hodes M.E., Trainin N.",00280836,"Nature",202, 4936,0,0,0,0,0,0
1960,"Inhibition of ehrlich ascites tumour growth by surface-active agents","Hodes M.E., Warren A.K., Palmer C.G.",00280836,"Nature",188, 4745,0,0,0,0,0,0
1958,"Possible use of synthetic surface-active agents for the preparation of tumour cell nuclei","Hodes M.E., Palmer C.G., Williams D.S.",00280836,"Nature",182, 4634,0,0,0,0,0,0
