,"Author: Stamp, Gordon W H",,,,,,,,,,,
1997,"Quantitative assessment of the leukocyte infiltrate in ovarian cancer and its relationship to the expression of C-C chemokines","Negus R.P.M., Stamp G.W.H., Hadley J., Balkwill F.R.",00029440,"American Journal of Pathology",150, 5,109,10,19,29,10,148
1997,"Expression of bcl-2 in bladder neoplasms is a cell lineage associated and p53-independent event","Lu Q.-L., Laniado M., Abel P.D., Stamp G.W.H., Lalani E.-N.",13552910,"Journal of Clinical Pathology - Clinical Molecular Pathology",50, 1,4,0,0,0,1,5
1997,"Prostate cancer; the interface between pathology and basic scientific research","Lalani E.-N., Stubbs A., Stamp G.W.H.",1044579X,"Seminars in Cancer Biology",8, 1,6,0,0,0,0,6
1996,"Characterization of monoclonal antibodies raised to C-terminal peptides of ps2: A major trefoil peptide and motility factor expressed in adenocarcinomas and regions of mucosal injury","Williams R., Elia G., Stamp G.W.H., Oates T., Wright N.A., Lalani E.-N.",00468177,"Human Pathology",27, 12,16,0,0,0,0,16
1996,"Expression of the type 1 tyrosine kinase growth factor receptors EGF receptor, c-erbB2 and c-erbB3 in bladder cancer","Rajkumar T., Stamp G.W.H., Pandha H.S., Waxman J., Gullick W.J.",00223417,"Journal of Pathology",179, 4,27,1,3,4,1,32
1996,"c-erbB3 protein expression in ovarian cancer","Rajkumar T., Stamp G.W.H., Hughes C.M., Gullick W.J.",13552910,"Journal of Clinical Pathology - Clinical Molecular Pathology",49, 4,5,0,5,5,2,12
1996,"Expression of collagenase (MMP2), stromelysin (MMP3) and tissue inhibitor of the metalloproteinases (TIMP1) in pancreatic and ampullary disease","Bramhall S.R., Stamp G.W.H., Dunn J., Lemoine N.R., Neoptolemos J.P.",00070920,"British Journal of Cancer",73, 8,58,1,4,5,0,63
1996,"Second messenger up-regulation of androgen receptor gene transcription is absent in androgen insensitive human prostatic carcinoma cell lines, PC-3 and DU-145","Stubbs A.P., Lalani E.-N., Stamp G.W.H., Hurst H., Abel P., Waxman J.",00145793,"FEBS Letters",383, 3,15,0,0,0,0,15
1996,"MUC1 expressed in PanC1 cells decreases adhesion to type 1 collagen but increases contraction in collagen lattices","Hudson M.J.H., Stamp G.W.H., Hollingsworth M.A., Pignatelli M., Lalani E.-N.",00029440,"American Journal of Pathology",148, 3,17,1,1,2,1,20
1996,"Establishment and characterisation of two cell lines derived from a primary adenocarcinoma of the duodenum","Golding M., Stamp G.W.H., Oates E-N Lalani T.",13552910,"Journal of Clinical Pathology - Clinical Molecular Pathology",49, 1,2,0,0,0,0,2
1996,"Matrix metalloproteinase-2 and tissue inhibitor of metalloproteinase-2 expression and synthetic matrix metalloproteinase-2 inhibitor binding in ovarian carcinomas and tumor cell lines","Afzal S., Lalani E.-N., Foulkes W.D., Boyce B., Tickle S., Cardillo M.R., Baker T., Pignatelli M., Stamp G.W.H.",00236837,"Laboratory Investigation",74, 2,40,2,0,2,0,42
1996,"Morphological interactions of human first trimester placental villi co-cultured with decidual explants","Babawale M.O., Van Noorden S., Pignatelli M., Stamp G.W.H., Elder M.G., Sullivan M.H.F.",02681161,"Human Reproduction",11, 2,18,1,1,2,0,20
1996,"Erratum: Second messenger up-regulation of androgen receptor gene transcription is absent in androgen insensitive human prostatic carcinoma cell lines, PC-3 and DU-145 (FEBS 16855) (FEBS Letters 383 (1996) 237-240)","Stubbs A.P., Lalani E.-N., Stamp G.W.H., Hurst H., Abel P., Waxman J.",00145793,"FEBS Letters",390, 2,0,0,0,0,0,0
1996,"Erratum: Expression of integrin subunits in the human infant breast correlate with morphogenesis and differentiation (Journal of Pathology, 176: 227-232 (1995))","Anbazhagan R., Bartkova J., Stamp G., Pignatelli M., Gusterson B.",00223417,"Journal of Pathology",178, 2,0,0,0,0,0,0
1996,"pS2 transfection of murine adenocarcinoma cell line 410.4 enhances dispersed growth pattern in a 3-D collagen gel","Williams R., Stamp G.W.H., Gilbert C., Pignatelli M., Lalani E.-N.",00219533,"Journal of Cell Science",109, 1,46,0,0,0,1,47
1996,"Tuberculous enteritis. A serious possibility in some patients","Ahmed F.B., Scott J., Hodgson H.J.F., Oakley C.M., Friedland J.S., Ind P.W., Stamp G.",09598146,"British Medical Journal",313, 7051,6,0,0,0,0,6
1995,"Protein extraction and western blotting from methacarn-fixed tissue","Lalani E.-N., Golding M., Hudson M., Chieffi G., Stamp G., Anilkumar T.V., Sarraf C., Alison M.R.",00223417,"Journal of Pathology",177, 3,11,1,0,1,0,12
1995,"Altered expression and function of E-cadherin in cervical intraepithelial neoplasia and invasive squamous cell carcinoma","Vessey C.J., Wilding J., Folarin N., Hirano S., Takeichi M., Soutter P., Stamp G.W.H., Pignatelli M.",00223417,"Journal of Pathology",176, 2,81,1,4,5,1,87
1995,"A somatic BRCA1 mutation in an ovarian tumour.","Hosking L., Trowsdale J., Nicolai H., Solomon E., Foulkes W., Stamp G., Signer E., Jeffreys A.",10614036,"Nature genetics",9, 4,109,1,2,3,0,112
1995,"MDM2 overexpression is rare in ovarian carcinoma irrespective of TP53 mutation status","Foulkes W.D., Stamp G.W.H., Afzal S., Lalani N., McFarlane C.P., Trowsdale J., Campbell I.G.",00070920,"British Journal of Cancer",72, 4,28,0,1,1,0,29
1995,"Extranodal follicular dendritic cell sarcoma of the gastrointestinal tract: Morphologic, immunohistochemical and ultrastructural analysis of two cases","Hollowood K., Stamp G., Zouvani I., Fletcher C.D.M.",00029173,"American Journal of Clinical Pathology",103, 1,70,4,1,5,3,78
1995,"The detection and localization of monocyte chemoattractant protein-1 (MCP- 1) in human ovarian cancer","Negus R.P.M., Balkwill F.R., Stamp G.W.H., Relf M.G., Burke F., Malik S.T.A., Bernasconi S., Allavena P., Sozzani S., Mantovani A.",00219738,"Journal of Clinical Investigation",95, 5,119,6,7,13,5,137
1995,"Proliferating cell nuclear antigen in benign breast diseases","Cardillo M.R., Stamp G.W.H., Pignatelli M.",03922936,"European Journal of Gynaecological Oncology",16, 6,1,1,0,1,0,2
1995,"Changes in E-cadherin immunoreactivity in the adenoma-carcinoma sequence of the large bowel","Gagliardi G., Talbot I.C., Pignatelli M., Kandemir O., Liu D., Guida M., Benvestito S., Ruers T.G.M., Benjamin I.S., Northover J.M.A., Stamp G.W.H.",09456317,"Virchows Archiv",426, 2,67,1,4,5,0,72
1995,"Integrins in tumour development and spread","Pignatelli M., Stamp G.",02612429,"Cancer Surveys",24, ,20,1,1,2,0,22
1995,"Mice lacking cyclin D1 are small and show defects in eye and mammary gland development","Fantl V., Stamp G., Andrews A., Rosewell I., Dickson C.",08909369,"Genes and Development",9, 19,381,20,22,42,12,435
1994,"Expression and activity of MMPS and their regulators in ovarian cancer","Naylor M.S., Stamp G.W., Davies B.D., Balkwill F.R.",00207136,"International Journal of Cancer",58, 1,116,10,7,17,3,136
1994,"Hepatocyte growth factor/scatter factor expression in human mammary epithelium","Wang Y., Selden A.C., Morgan N., Stamp G.W.H., Hodgson H.J.F.",00029440,"American Journal of Pathology",144, 4,56,3,0,3,0,59
1994,"A novel gene encoding a B-box protein within the BRCA1 region at 17q21.1","Campbell I.G., Solomon E., Trowsdale J., Black D.M., Nicolai H.M., Foulkes W.D., Senger G., Stamp G.W., Allan G., Boyer C., Jones K., Bast Jr. R.C.",09646906,"Human Molecular Genetics",3, 4,66,2,0,2,2,70
1994,"Immunolocalisation of cripto and amphiregulin in rectal cancer: Correlation with prognosis","Gagliardi G., Talbot I.C., Northover J.M.A., Warren A., Stamp G.W.H., Lalani E.-N., Gullick W.J., Pignatelli M.",10196439,"International Journal of Oncology",4, 4,8,0,0,0,0,8
1994,"Natural gastrointestinal ulcer healing mechanism?","Williams R., Ialani E.-N., Stamp G.W.H.",01410768,"Journal of the Royal Society of Medicine",87, 11,5,0,0,0,0,5
1994,"TGF-? can act as morphogen and/or mitogen in a colon-cancer cell line","Liu D., Gagliardi G., Nasim M.M., Alison M.R., Oates T., Lalani E.-N., Stamp G.W.H., Pignatelli M.",00207136,"International Journal of Cancer",56, 4,15,0,0,0,0,15
1994,"The ulceration-associated cell lineage (UACL) reiterates the Brunner's gland differentiation programme but acquires the proliferative organization of the gastric gland","Ahnen D.J., Wright N.A., Poulsom R., Stamp G.W.H., Elia G., Pike C., Jeffery R., Longcroft J., Rio M.-C., Chambon P.",00223417,"Journal of Pathology",173, 4,29,1,1,2,1,32
1993,"?1 and ?4 integrin expression in methacarn and formalin-fixed material from in situ ductal carcinoma of the breast","Handby A.M., Gillett C.E., Pignatelli M., Stamp G.W.H.",00223417,"Journal of Pathology",171, 4,9,0,0,0,0,9
1993,"Effects of epithelial proliferation and differentiation on ulcer healing","Levi S., Goodlad R.A., Lee C.Y., Stamp G., Park H.S., Walport M.J., Hodgson H.J.F., Wright N.A.",0954691X,"European Journal of Gastroenterology and Hepatology",5, 3,5,0,0,0,0,5
1993,"Immunohistochemical analysis of p53 oncoprotein and proliferating cell nuclear antigen (PCNA) in the cervix uteri","Cardillo M.R., Stamp G.W.H., Pignatelli M.N., Lalani E.-N.",03922936,"European Journal of Gynaecological Oncology",14, 6,6,0,0,0,0,6
1993,"Very frequent loss of heterozygosity throughout chromosome 17 in sporadic ovarian carcinoma","Foulkes W.D., Black D.M., Stamp G.W.H., Solomon E., Trowsdale J.",00207136,"International Journal of Cancer",54, 2,54,0,2,2,0,56
1993,"Frequent loss of heterozygosity on chromosome 6 in human ovarian carcinoma","Foulkes W.D., Ragoussis J., Stamp G.W.H., Allan G.J., Trowsdale J.",00070920,"British Journal of Cancer",67, 3,102,2,0,2,1,105
1993,"Trefoil peptide gene expression in gastrointestinal epithelial cells in inflammatory bowel disease","Wright N.A., Pike C., Rio M.-C., Chambon P., Poulsom R., Stamp G., Van Noorden S., Sarraf C., Elia G., Ahnen D., Jeffery R., Longcroft J.",00165085,"Gastroenterology",104, 1,138,7,1,8,3,149
1993,"The effect of cytokines on cultured mononuclear cells from patients with B cell chronic lymphocytic leukemia","Burke F., Griffin D., Elwood N., Davis C., Stamp G., Rohatiner A., Lister T.A., Balkwill F.",02780232,"Hematological Oncology",11, 1,4,0,0,0,0,4
1993,"Transforming growth factor-? distribution in basal cell carcinomas: Relationship to proliferation index","Stamp G.W.H., Nasim M., Cardillo M., Sudhindra S.G., Lalani E.-N., Pignatelli M.",00070963,"British Journal of Dermatology",129, 1,15,1,1,2,1,18
1993,"Expression of gelatinase A and TIMP-2 mRNAs in desmoplastic fibroblasts in both mammary carcinomas and basal cell carcinomas of the skin","Poulsom R., Hanby A.M., Pignatelli M., Jeffery R.E., Longcroft J.M., Rogers L., Stamp G.W.H.",00219746,"Journal of Clinical Pathology",46, 5,86,3,2,5,1,92
1993,"Cutaneous large cell anaplastic lymphoma","Lewis H.M., Stamp G., Stewart S., Leonard J.N.",01410768,"Journal of the Royal Society of Medicine",86, 4,1,0,0,0,0,1
1993,"Tumor necrosis factor and its receptors in human ovarian cancer: Potential role in disease progression","Naylor M.S., Stamp G.W.H., Foulkes W.D., Eccles D., Balkwill F.R.",00219738,"Journal of Clinical Investigation",91, 5,111,8,11,19,6,136
1993,"Ossifying fibromyxoid tumour of soft parts: Immunohistochemical and ultrastructural analysis","Schofield J.B., Krausz T., Stamp G.W.H., Fletcher C.D.M., Fisher C., Azzopardi J.G.",03090167,"Histopathology",22, 2,37,2,6,8,2,47
1993,"Loss of cell-cell and cell-matrix adhesion molecules in colorectal cancer","Nigam A.K., Savage F.J., Boulos P.B., Stamp G.W.H., Liu D., Pignatelli M.",00070920,"British Journal of Cancer",68, 3,72,4,2,6,0,78
1993,"Isolation and characterization of multiple cell types from a single human colonic carcinoma: Tumourigenicity of these cell types in a xenograft system","Marsh K.A., Stamp G.W.H., Kirkland S.C.",00223417,"Journal of Pathology",170, 4,25,5,5,10,2,37
1993,"Trefoil peptide gene expression in small intestinal Crohn's disease and dietary adaptation","Poulsom R., Chinery R., Sarraf C., Van Noorden S., Stamp G.W.H., Lalani - E.N., Elia G., Wright N.A.",01920790,"Journal of Clinical Gastroenterology",17, 1,16,1,1,2,0,18
1993,"Loss of heterozygosity and amplification on chromosome 11q in human ovarian cancer","Foulkes W.D., Campbell I.G., Stamp G.W.H., Trowsdale J.",00070920,"British Journal of Cancer",67, 2,80,0,1,1,0,81
1992,"Non-steroidal anti-inflammatory drugs inhibit the processes of mucosal cell proliferation associated with duodenal ulcer healing","Levi S., Goodlad R.A., Lee C.Y., Stamp G., Walport M.J., Wright N.A., Hodgson H.J.F.",00122823,"Digestion",53, 3-4,7,0,0,0,0,7
1992,"Nonuniform expression of a mouse mammary tumor virus-driven int-2/Fgf-3 transgene in pregnancy-responsive breast tumors.","Stamp G., Fantl V., Poulsom R., Jamieson S., Smith R., Peters G., Dickson C.",10449523,"Cell growth & differentiation : the molecular biology journal of the American Association for Cancer Research",3, 12,25,0,1,1,0,26
1992,"Integrins and their accessory adhesion molecules in mammary carcinomas: Loss of polarization in poorly differentiated tumors","Pignatelli M., Cardillo M.R., Hanby A., Stamp G.W.H.",00468177,"Human Pathology",23, 10,73,9,2,11,5,89
1992,"Beta actin expression and organization of actin filaments in colorectal neoplasia.","Naylor M.S., Stamp G.W., Balkwill F.R.",09409912,"Epithelial cell biology",1, 3,2,1,0,1,0,3
1992,"Morphoregulatory activities of E-cadherin and beta-1 integrins in colorectal tumour cells","Pignatelli M., Liu D., Nasim M.M., Stamp G.W.H., Hirano S., Takeichi M.",00070920,"British Journal of Cancer",66, 4,66,2,3,5,2,73
1992,"Over-expression of p53 nuclear oncoprotein in colorectal adenomas","Pignatelli M., Stamp G.W.H., Kafiri G., Lane D., Bodmer W.F.",00207136,"International Journal of Cancer",50, 5,44,0,1,1,0,45
1992,"Stromal expression of 72 kda type IV collagenase (MMP-2) and TIMP-2 mRNAs in colorectal neoplasia","Poulsom R., Pignatelli M., Stetler-Stevenson W.G., Liotta L.A., Wright P.A., Jeffery R.E., Longcroft J.M., Rogers L., Stamp G.W.H.",00029440,"American Journal of Pathology",141, 2,190,7,5,12,1,203
1992,"Lysozyme gene expression in inflammatory bowel disease","Stamp G.W.H., Poulsom R., Chung L.P., Keshav S., Jeffery R.E., Longcroft J.A., Pignatelli M., Wright N.A.",00165085,"Gastroenterology",103, 2,14,1,1,2,0,16
1992,"Trefoil peptide expression in intestinal adaptation and renewal","Poulsom R., Chinery R., Sarraf C., Lalani E.-N., Stamp G., Elia G., Wright N.",00855928,"Scandinavian Journal of Gastroenterology, Supplement",27, 192,16,1,0,1,1,18
1992,"Radiation stricture of the biliary ducts: An emerging new entity?","Halevy A., Adam A., Stamp G., Benjamin I.S., Blumgart L.H.",08948569,"HPB Surgery",5, 4,1,0,1,1,0,2
1992,"Trefoil peptide gene expression in gastrointestinal epithelial cells in inflammatory Bowel disease","Wright N.A., Pike C., Rio M.-C., Chambon P., Poulsom R., Stamp G., Van Norden S., Sarraf C., Elia G., Ahner D., Jeffery R., Longcroft J.",00855928,"Scandinavian Journal of Gastroenterology, Supplement",27, 193,16,6,2,8,0,24
1991,"Antitumor activity of ?-interferon in ascitic and solid tumor models of human ovarian cancer","Malik S.T.A., Knowles R.G., East N., Lando D., Stamp G., Balkwill F.R.",00085472,"Cancer Research",51, 24,23,0,0,0,0,23
1991,"Low expression of ?1, ?2 and ?3 subunits of VLA integrins in malignant mammary tumours","Pignatelli M., Hanby A.M., Stamp G.W.H.",00223417,"Journal of Pathology",165, 1,47,4,0,4,1,52
1991,"Distribution of ?1, ?1, ?2 and ?3 integrin chains in basal cell carcinomas","Stamp G.W.H., Pignatelli M.",00223417,"Journal of Pathology",163, 4,24,0,1,1,0,25
1991,"Achlorhydria-induced hypergastrinaemia: The role of bacteria","Calam J., Goodlad R.A., Lee C.Y., Ratcliffe B., Coates M.E., Stamp G.W.H., Wright N.A.",01435221,"Clinical Science",80, 4,4,0,0,0,0,4
1990,"In situ detection of tumour necrosis factor in human ovarian cancer specimens","Stuart Naylor M., Malik S.T.A., Stamp G.W.H., Jobling T., Balkwill F.R.",02775379,"European Journal of Cancer",26, 10,17,1,0,1,2,20
1990,"Epidermal growth factor (EGF/URO) induces expression of regulatory peptides in damaged human gastrointestinal tissues","Wright N.A., Poulsom R., Stamp G.W.H., Hall P.A., Jeffery R.E., Longcroft J.M., Rio M.-C., Tomasetto C., Chambon P.",00223417,"Journal of Pathology",162, 4,109,4,1,5,4,118
1990,"Investigation of cytokine gene expression in human colorectal cancer","Naylor M.S., Stamp G.W.H., Balkwill F.R.",00085472,"Cancer Research",50, 14,32,1,2,3,1,36
1990,"The rational use of monoclonal antibodies in tumour diagnosis","Stamp G.W.H.",0003911X,"Archiv fur Geschwulstforschung",60, 1,1,0,0,0,0,1
1989,"Evaluation of immunohistochemistry in tumor diagnosis","Stamp G.W.H.",01478885,"Journal of Histotechnology",12, 4,2,0,0,0,0,2
1989,"Identification of the origin of cells in human basal cell carcinoma xenografts in mice using in situ hybridization","Hales S.A., Stamp G., Evans M., Fleming K.A.",00070963,"British Journal of Dermatology",120, 3,4,1,0,1,1,6
1989,"Non-alcoholic steatohepatitis associated with small intestinal diverticulosis and bacterial overgrowth","Nazim M., Stamp G., Hodgson H.J.F.",01726390,"Hepato-Gastroenterology",36, 5,27,3,3,6,2,35
1989,"Tenascin distribution in basal cell carcinomas","Stamp G.W.H.",00223417,"Journal of Pathology",159, 3,18,1,0,1,1,20
1989,"Expression of tachykinins by ileal and lung carcinoid tumors assessed by combined in situ hybridization, immunocytochemistry, and radioimmunoassay","Bishop A.E., Harmar A.J., Valentino K., Cedermark B., Legon S., Ghatei M.A., Bloom S.R., Polak J.M., Hamid Q.A., Adams C., Bretherton-Watt D., Jones P.M., Denny P., Stamp G.W.H., Hurt R.L., Grimelius L.",0008543X,"Cancer",63, 6,10,0,1,1,0,11
1988,"Ulcerative ileojejunitis associated with pulmonary fibrosis and polymyositis.","Coupe M.O., Barnard M.L., Stamp G., Hodgson H.J.",01726390,"Hepato-Gastroenterology",35, 3,3,0,0,0,0,3
1988,"Fine needle aspiration cytology of a recurrent juvenile granulosa cell tumor","Stamp G.W.H., Krausz T.",00015547,"Acta Cytologica",32, 4,4,0,0,0,0,4
1988,"Clonal rearrangement of the T-cell receptor ? gene associated with a bizarre lymphoproliferative syndrome","Coupe M., Cox T.M., Foroni L., Stamp G., Lovatt D., Barnard M., Krausz T., Kalofonos H., Epenetos A., Luzzatto L.",09024441,"European Journal of Haematology",41, 3,2,0,0,0,0,2
1988,"Basal cell carcinoma xenografts in nude mice: Studies on epithelial differentiation and stromal relationships","Stamp G.W.H., Quaba A., Braithwaite A., Wright N.A.",00223417,"Journal of Pathology",156, 3,6,0,0,0,1,7
1988,"Response of the benign hypertrophied prostate to treatment with an LHRH analogue","Keane O.F., Timoney A.G., Kiely E., Williams G., Stamp G.",00071331,"British Journal of Urology",62, 2,3,0,0,0,0,3
1987,"Mice transgenic for a vasopressin-SV40 hybrid oncogene develop tumors of the endocrine pancreas and the anterior pituitary. A possible model for human multiple endocrine neoplasia type 1","Murphy D., Bishop A., Rindi G., Murphy M.N., Stamp G.W.H., Hanson J., Polak J.M., Hogan B.",00029440,"American Journal of Pathology",129, 3,27,1,0,1,0,28
1987,"Fast neutron therapy for soft tissue sarcoma","Pickering D.G., Stewart J.S., Rampling R., Errington R.D., Stamp G., Chia Y.",03603016,"International Journal of Radiation Oncology Biology Physics",13, 10,11,0,0,0,0,11
1987,"Accumulation of ceroid in smooth muscle indicates severe malabsorption and vitamin E deficiency","Stamp G.W.H., Evans D.J.",00219746,"Journal of Clinical Pathology",40, 7,1,0,0,0,0,1
1986,"Heterotopic ossification of an expanded polytetrafluoroethylene vascular graft","Eggleton S.P.H., Palmer J., Stamp G.",00071323,"British Journal of Surgery",73, 2,2,0,0,0,0,2
1985,"Antral hypertrophic gastritis: A rare cause of iron deficiency","Stamp G.W.H., Palmer K., Misiewicz J.J.",00219746,"Journal of Clinical Pathology",38, 4,2,0,0,0,0,2
1983,"Malignancy arising in cystic ovarian teratomas. A report of 24 cases","Stamp G.W.H., McConnell E.M.",03065456,"British Journal of Obstetrics and Gynaecology",90, 7,38,4,5,9,2,49
1983,"Acute clostridial enteritis - Or pig-bel","DeVitt P.G., Stamp G.W.H.",00175749,"Gut",24, 7,2,1,0,1,0,3
1983,"Mammographic and pathological correlations in a breast screening programme","Stamp G.W.H., Whitehouse G.H., McDicken I.W.",00099260,"Clinical Radiology",34, 5,1,0,0,0,0,1
1982,"Histological localisation of mammographic abnormalities in breast biopsy specimens","Stamp G.W.H., McDicken I.W., Whitehouse G.H.",00219746,"Journal of Clinical Pathology",35, 10,0,0,0,0,0,0
