,"Author: Taylor, Graham P.",,,,,,,,,,,
2003,Exposure to antiretroviral therapy in utero or early life: The health of uninfected children born to HIV-infected women,"Newell M.L., Salas S., Ladron de Guevara C., Pena J.M., Gonzalez Garcia J., Arribas Lopez J.R., Garcia-Rodriguez M.C., Asensi-Botet F., Otero M.C., Perez-Tamarit D., Ridaura S., Giaquinto C., Gregori P., De la Torre R., Scherpbier H., Kreyenbroek M., Boer K., Bohlin A.B., Lindgren S., Ehrnst A., Belfrage E., Naver L., Ruga E., Levy J., Barlow P., Hainaut M., Peltier A., Wibaut S., Ferrazin A., Bassetti D., De Maria A., Gotta C., Mur A., De Rossi A., Paya A., Vinolas M., Lopez-Vilchez M.A., Rovira M.A., Carreras R., Valerius N.H., Coll O., Vidal R., Perez J.M., Boguna J., Grosch-Worner I., Fortuny C., Pardi G., Ravizza M., Guerra B., Lanari M., Bianchi S., Bovicelli L., Savasi V., Vigano A., Ferrazzi E., Mok J., Brambilla T., Bianchi L., Maccabruni A., Taylor G.P., Lyall E.G.H., Penn Z., Buffolano W., Martinelli P., Sansone M., Tibaldi C., Johnstone F., Marini C., Masuelli G., Benedetto C., Niemiec T., Marczynska M., De Jose I., Bates I.",15254135,Journal of Acquired Immune Deficiency Syndromes,32,4,57,21,12,33,11,101
2003,Large-scale imaging of retinal output activity,"Litke A.M., Chichilnisky E.J., Dabrowski W., Grillo A.A., Grybos P., Kachiguine S., Rahman M., Taylor G.",1689002,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",501,1,11,1,2,3,0,14
2003,Spread of HTLV-I between lymphocytes by virus-induced polarization of the cytoskeleton,"Igakura T., Stinchcombe J.C., Goon P.K.C., Taylor G.P., Weber J.N., Griffiths G.M., Tanaka Y., Osame M., Bangham C.R.M.",368075,Science,299,5613,106,33,36,69,19,194
2003,Polymerase chain reaction diagnosis of human immunodeficiency virus infection [1],"Lyall E.G.H., Taylor G.P., Clarke J., McLure M.O.",8913668,Pediatric Infectious Disease Journal,22,3,1,1,0,1,1,3
2003,Differences in presentation and follow-up between HIV-1 antibody positive teenagers and adults: The need for a more focused approach to care?,"Prime K., Edwards S., Sethi G., Navaratne L., Dean G., Fox E., Sabin C., Taylor C., De Ruiter A., Taylor G.",2699370,AIDS,17,2,0,0,0,0,0,0
2002,"Pre-eclampsia, antiretroviral therapy, and immune reconstitution","Wimalasundera R.C., Larbalestier N., Smith J.H., De Ruiter A., Thom S.A.McG., Hughes A.D., Poulter N., Regan L., Taylor G.P.",1406736,Lancet,360,9340,28,8,3,11,3,42
2002,Persistence of HTLV-I in blood components after leukocyte depletion,"Pennington J., Taylor G.P., Sutherland J., Davis R.E., Seghatchian J., Allain J.-P., Williamson L.M.",64971,Blood,100,2,20,0,3,3,2,25
2002,Human T cell leukaemia virus type I associated neuromuscular disease causing respiratory failure,"Littleton E.T., Man W.D., Holton J.L., Landon D.N., Hanna M.G., Polkey M.I., Taylor G.P.",223050,Journal of Neurology Neurosurgery and Psychiatry,72,5,3,1,1,2,0,5
2002,Hepatoxicity with antiretroviral treatment of pregnant women [3],"Taylor G.P., Jungmann E., Mercey D.",297844,Obstetrics and Gynecology,99,5,0,0,0,0,0,0
2002,High frequencies of Th1-type CD4+ T cells specific to HTLV-1 Env and Tax proteins in patients with HTLV-1-associated myelopathy/tropical spastic paraparesis,"Goon P.K.C., Hanon E., Igakura T., Tanaka Y., Weber J.N., Taylor G.P., Bangham C.R.M.",64971,Blood,99,9,29,2,7,9,1,39
2002,Treatment of tuberculosis in HIV-infected persons in the era of highly active antiretroviral therapy,"Dean G.L., Taylor C.B., De Ruiter A., Pozniak A.L., Edwards S.G., Ives N.J., Matthews G., Fox E.F., Navaratne L., Fisher M., Taylor G.P., Miller R.",2699370,AIDS,16,1,84,34,24,58,17,159
2001,Experience of nevirapine use in a London cohort of HIV-infected pregnant women,"Edwards S.G., Larbalestier N., Hay P., De Ruiter A., Welch J., Taylor G.P., Easterbrook P.",14642662,HIV Medicine,2,2,9,2,0,2,0,11
2001,Guidelines for the management of HIV infection in pregnant women and the prevention of mother-to-child transmission,"Lyall E.G.H., Sunderland J., Webb R., Taylor G.P., Blott M., De Ruiter A., Hawkins D., Mercy D., Mitchla Z., Newell M.-L., O'Shea S., Smith J.R.",14642662,HIV Medicine,2,4,39,3,0,3,1,43
2001,Is first trimester exposure to the combination of antiretroviral therapy and folate antagonists a risk factor for congenital abnormalities?,"Jungmann E.M., Mercey D., Deruiter A., Edwards S., Donoghue S., Booth T., Mohan D., Lyall H., Taylor G.P.",13684973,Sexually Transmitted Infections,77,6,18,5,1,6,1,25
2001,The human T-lymphotropic viruses: Bench and bedside progress,Taylor G.P.,1681702,Virus Research,78, 1-2,2,0,0,0,0,2
2001,Antiretroviral therapy in pregnancy: A focus on safety,"Taylor G.P., Low-Beer N.",1145916,Drug Safety,24,9,20,1,0,1,2,23
2001,High production of interferon ? but not interleukin-2 by human T-lymphotropic virus type I-infected peripheral blood mononuclear cells,"Hanon E., Goon P., Taylor G.P., Hasegawa H., Tanaka Y., Weber J.N., Bangham C.R.M.",64971,Blood,98,3,26,2,4,6,3,35
2001,Third trimester screening or safer sex to prevent mother to child transmission of HIV [9],"Goon P.K.C., Watkins R.P.F., Lyall E.G.H., Parry J., Taylor G.P.",13684973,Sexually Transmitted Infections,77,3,0,0,1,1,0,1
2001,Interferon ? and zidovudine therapy in adult T-cell leukaemia lymphoma: Response and outcome in 15 patients,"Matutes E., Reilly J.T., Taylor G.P., Cavenagh J., Pagliuca A., Bareford D., Domingo A., Hamblin M., Kelsey S., Mir N.",71048,British Journal of Haematology,113,3,22,5,4,9,2,33
2001,In vivo selection of T-cell receptor junctional region sequences by HLA-A2 human T-cell lymphotropic virus type 1 Tax11-19 peptide complexes,"Saito M., Taylor G.P., Saito A., Furukawa Y., Usuku K., Weber J.N., Osame M., Bangham C.R.M.",0022538X,Journal of Virology,75,2,7,1,0,1,0,8
2000,Fracticide among CD8+ T lymphocytes naturally infected with human T cell lymphotropic virus type I,"Hanon E., Stinchcombe J.C., Saito M., Asquith B.E., Taylor G.P., Tanaka Y., Weber J.N., Griffiths G.M., Bangham C.R.M",10747613,Immunity,13,5,77,6,8,14,4,95
2000,Management of HIV and pregnancy in England's North Thames Region 1999: A survey of practice in 21 hospitals,"Brook M.G., Taylor G.P., Dale A., Lyall E.G.H., Tomlinson D.",14642662,HIV Medicine,1,3,0,1,1,2,0,2
2000,High frequency of viral protein expression in human T cell lymphotropic virus type 1-infected peripheral blood mononuclear cells,"Hanon E., Asquith R.E., Taylor G.P., Tanaka Y., Weber J.N., Bangham C.R.M.",8892229,AIDS Research and Human Retroviruses,16,16,10,2,1,3,1,14
2000,Is human T-cell lymphotropic virus type I really silent?,"Asquith B., Hanon E., Taylor G.P., Bangham C.R.M.",9628436,Philosophical Transactions of the Royal Society B: Biological Sciences,355,1400,17,1,2,3,0,20
2000,Pharmacological implications of lengthened in-utero exposure to nevirapine,"Taylor G.P., Lyall E.G.H., Back D., Ward C., Tudor-Williams G.",1406736,Lancet,355,9221,9,1,3,4,0,13
2000,Human T cell leukaemia/lymphoma virus infection in pregnant women in the United Kingdom: Population study,"Ades A.E., Parker S., Walker J., Edginton M., Taylor G.P., Weber J.N.",9598146,British Medical Journal,320,7248,17,2,1,3,3,23
2000,Frequent reversible membrane damage in peripheral blood B cells in human T cell lymphotropic virus type I (HTLV-I)-associated myelopathy/tropical spastic paraparesis (HAM/TSP),"Furukawa Y., Bangham C.R.M., Taylor G.P., Weber J.N., Osame M.",99104,Clinical and Experimental Immunology,120,2,8,1,3,4,1,13
2000,Chimeric matrix proteins encoded by defective proviruses with large internal deletions in human T-cell leukemia virus type 1-infected humans,"Morozov V.A., Lagaye S., Taylor G.P., Matutes E., Weiss R.A.",0022538X,Journal of Virology,74,9,8,1,0,1,0,9
2000,No evidence of HTLV-I or HTLV-II infection among the Hmong people of northern Thailand or injecting drug users in Bangkok [4],"Louisirirotchanakul S., Thongput A., Khamboonruang C., Taylor G.P., Kunstadter P., Wasi C.",15254135,Journal of Acquired Immune Deficiency Syndromes,23,5,3,0,0,0,0,3
2000,"HTLV-I/II associated disease in England and Wales, 1993-77: Retrospective review of serology requests","Tosswill J.H.C., Taylor G.P., Tedder R.S., Mortimer P.P.",9598146,British Medical Journal,320,7235,10,1,1,2,2,14
2000,Abundant Tax protein expression in CD4+ T cells infected with human T- cell lymphotropic virus type I (HTLV-I) is prevented by cytotoxic T lymphocytes,"Hanon E., Bangham C.R.M., Hall S., Taylor G.P., Saito M., Davis R., Tanaka Y., Usuku K., Osame M., Weber J.N.",64971,Blood,95,4,98,7,9,16,3,117
1999,"Effect of lamivudine on human T-cell leukemia virus type 1 (HTLV-1) DNA copy number, T-cell phenotype, and anti-tax cytotoxic T-cell frequency in patients with HTLV-1-associated myelopathy","Taylor G.P., Matutes E., Bangham C.R.M., Weber J.N., Hall S.E., Navarrete S., Michie C.A., Davis R., Witkover A.D., Rossor M., Nowak M.A., Rudge P.",0022538X,Journal of Virology,73,12,50,6,8,14,5,69
1999,Rapid development of genotypic resistance to lamivudine when combined with zidovudine in pregnancy,"Clarke J.R., Weber J.N., Taylor G.P., Braganza R., Mirza A., Stainsby C., Ait-Khaled M., Wright A., Lyall H., Parker D., McClure M.O.",1466615,Journal of Medical Virology,59,3,23,1,2,3,0,26
1999,Prospective study of HTLV-I infection in an initially asymptomatic cohort,"Taylor G.P., Bangham C.R.M., Weber J.N., Tosswill J.H.C., Matutes E., Daenke S., Hall S., Bain B.J., Davis R., Thomas D., Rossor M.",10779450,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,22,1,25,4,0,4,2,31
1999,Labour care of women with HIV infection (multiple letters) [3],"Taylor G.P., Lyall E.G.H., Tudor-Williams G., Regan L., Smith J., Chamberlain G., Steer P.",9598146,British Medical Journal,319,7206,0,0,0,0,0,0
1999,Low prevalence of HTLV-I/II infection among HIV-1-infected injecting drug users in Russia [6],"Bobkova M.R., Detkova N.V., Buravtsova E.V., Bondarenko V.O., Bobkov A.F., Pokrovsky V.V., Taylor G.P.",10779450,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,21,4,0,0,0,0,0,0
1999,Monitoring the stability of the ALEPH vertex detector,"Sguazzoni G., Frank M., Maley P.D., Morel M., Wagner A., Focardi E., Parrini G., Scarlini E., Halley A., O'Shea V., Raine C., Creanza D., Barber G., Cameron W., Dornan P., Gentry D., Moutoussi A., Nash J., Price D., Stacey A., Toudup L.W., Williams M.I., De Palma M., Billault M., Blanc P.E., Bonissent A., Bujosa G., Calvet D., Carr J., Coyle P., Curtil C., Destelle J.J., Diaconu C., Maggi G., Fouchez D., Karst P., Payre P., Rousseau D., Thulasidas M., Dietl H., Ganis G., Moser H.G., Settles R., Seywerd H., Raso G., Waltermann G., Bosi F., Bozzi C., Dell'Orso R., Profeti A., Rizzo G., Verdini P.G., Bizzell J.P., Thompson J.C., Black S., Selvaggi G., Dann J., Kim H.Y., Konstantinidis N., Taylor G., Bosisio L., Rothberg J., Wasserbaech S., Armstrong S., Elmer P., Walsh J., Silvestris L., Tempesta P., Burns M.",9205632,Nuclear Physics B - Proceedings Supplements,78, 1-3,0,0,0,0,0,0
1999,Role of maternal humoral immunity in vertical transmission of HIV-1 subtype E in Thailand,"Louisirirotchanakul S., Beddows S., Cheingsong R., Shaffer N., Mastro T.D., Likanonsakul S., Wasi C., Taylor G.P., Weber J.N.",10779450,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,21,4,14,0,0,0,1,15
1999,British HIV association guidelines for prescribing antiretroviral therapy in pregnancy (1998),"Taylor G.P., Lyall E.G.H., Mercey D., Smith R., Chester T., Newell M.-L., Tudor-Williams G.",13684973,Sexually Transmitted Infections,75,2,21,1,0,1,0,22
1999,HLA alleles determine human T-lymphotropic virus-I (HTLV-I) proviral load and the risk of HTLV-I-associated myelopathy,"Jeffery K.J.M., Weber J.N., Lloyd A.L., Nowak M.A., Nagai M., Kodama D., Izumo S., Osame M., Bangham C.R.M., Usuku K., Hall S.E., Matsumoto W., Taylor G.P., Procter J., Bunce M., Ogg G.S., Welsh K.I.",278424,Proceedings of the National Academy of Sciences of the United States of America,96,7,156,10,18,28,8,192
1998,Quantification of proviral DNA load in human T-cell leukaemia virus type I infections,"Tosswill J.H.C., Taylor G.P., Clewley J.P., Weber J.N.",1660934,Journal of Virological Methods,75,1,17,1,3,4,0,21
1998,Pathogenesis and treatment of HTLV-I associated myelopathy,Taylor G.P.,13684973,Sexually Transmitted Infections,74,5,9,4,0,4,0,13
1998,Intrapartum mucosal exposure to human immunodeficiency virus type 1 (HIV-1) of infants born to HIV-1-infected mothers correlates with maternal plasma virus burden,"Ait-Khaled M., Hermione Lyall E.G., Stainsby C., Taylor G.P., Wright A., Weber J.N., McClure M.O., Tudor-Williams G.",221899,Journal of Infectious Diseases,177,4,14,2,1,3,0,17
1998,Enhanced MDR1 gene expression in human T-cell leukemia virus-I-infected patients offers new prospects for therapy,"Lau A., Nightingale S., Taylor G.P., Gant T.W., Cann A.J.",64971,Blood,91,7,18,2,2,4,0,22
1998,Review of uptake of interventions to reduce mother to child transmission of HIV by women aware of their HIV status,"Hermione Lyall E.G., Walters S., Tudor-Williams G., Stainsby C., Taylor G.P., Ait-Khaled M., Bingham S., Evans J.A., Wright A., Weber J.N., McClure M.O.",9598146,British Medical Journal,316,7127,10,0,2,2,0,12
1996,The epidemiology of HTLV-I in Europe,Taylor G.P.,10779450,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,13,1,27,3,1,4,1,32
1996,No evidence of antibody to human foamy virus in widespread human populations,"Ali M., McClure M.O., Taylor G.P., Pitman R.J., Parker D., Rethwilm A., Cheingsong-Popov R., Weber J.N., Bieniasz P.D., Bradley J.",8892229,AIDS Research and Human Retroviruses,12,15,36,2,1,3,0,39
1996,Seroepidemiology of the human T-cell leukaemia/lymphoma viruses in Europe: The HTLV European Research Network,Taylor G.P.,10779450,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology,13,1,46,1,2,3,2,51
1996,High activated and memory cytotoxic T-cell responses to HTLV-1 in healthy carriers and patients with tropical spastic paraparesis,"Daenke S., Kermode A.G., Hall S.E., Taylor G., Weber J., Nightingale S., Bangham C.R.M.",426822,Virology,217,1,59,5,2,7,0,66
1996,HTLV-I screening in Britain [5],"Kay L.A., Breuer J., Weber J.N., Taylor G.P., Harrison P., Ala F.A., Milligan D.W., Skidmore S., Jenks P.J., Raftery M.J.",9598146,British Medical Journal,312,7032,3,0,0,0,0,3
1995,Naturally occurring variants of human T-cell leukemia virus type I tax protein impair its recognition by cytotoxic T lymphocytes and the transactivation function of tax,"Niewiesk S., Daenke S., Parker C.E., Taylor G., Weber J., Nightingale S., Bangham C.R.M.",0022538X,Journal of Virology,69,4,65,1,2,3,1,69
1994,The transactivator gene of human T-cell leukemia virus type I is more variable within and between healthy carriers than patients with tropical spastic paraparesis,"Niewiesk S., Daenke S., Parker C.E., Taylor G., Weber J., Nightingale S., Bangham C.R.M.",0022538X,Journal of Virology,68,10,60,2,3,5,1,66
1994,"Circulating anti-tax cytotoxic T lymphocytes from human T-cell leukemia virus type I-infected people, with and without tropical spastic paraparesis, recognize multiple epitopes simultaneously","Parker C.E., Nightingale S., Taylor G.P., Weber J., Bangham C.R.M.",0022538X,Journal of Virology,68,5,75,5,1,6,2,83
