,"Authors: Jarvelin, Marjo Riitta;Järvelin, Marjo Ritta",,,,,,,,,,,
2007,Do inattention and hyperactivity symptoms equal scholastic impairment? Evidence from three European cohorts,"Rodriguez A., Kotimaa A.J., Linnet K.M., Olsen J., Jarvelin M.-R., Obel C., Taanila A., Miettunen J., Moilanen I., Henriksen T.B., Pietilainen K., Ebeling H.",14712458,BMC Public Health,7, ,0,0,3,3,4,7
2007,ADHD candidate gene study in a population-based birth cohort: Association with DBH and DRD2,"Nyman E.S., Jarvelin M.-R., Smalley S.L., Nelson S.F., Peltonen L., Ogdie M.N., Loukola A., Varilo T., Taanila A., Hurtig T., Moilanen I.K., Loo S.K., McGough J.J.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,1,3,4,3,7
2007,Introduction: ADHD in an adolescent Finnish population,"Smalley S.L., Jarvelin M.-R.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,0,0,0,2,2
2007,ADHD symptoms and subtypes: Relationship between childhood and adolescent symptoms,"Hurtig T., Ebeling H., Taanila A., Miettunen J., Smalley S.L., McGough J.J., Loo S.K., Jarvelin M.-R., Moilanen I.K.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,2,0,2,3,5
2007,Prevalence and psychiatric comorbidity of attention-deficit/hyperactivity disorder in an adolescent Finnish population,"Smalley S.L., McCracken J.T., Varilo T., Yang M.H., Nelson S.F., Peltonen L., Jarvelin M.-R., McGough J.J., Moilanen I.K., Loo S.K., Taanila A., Ebeling H., Hurtig T., Kaakinen M., Humphrey L.A.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,4,6,10,5,15
2007,"The effect of freezing, thawing, and short- and long-term storage on serum thyrotropin, thyroid hormones, and thyroid autoantibodies: Implications for analyzing samples stored in serum banks [7]","Mannisto T., Surcel H.-M., Bloigu A., Ruokonen A., Hartikainen A.-L., Jarvelin M.-R., Pouta A., Vaarasmaki M., Suvanto-Luukkonen E.",99147,Clinical Chemistry,53,11,0,0,0,0,1,1
2007,Disparate genetic influences on polycystic ovary syndrome (PCOS) and type 2 diabetes revealed by a lack of association between common variants within the TCF7L2 gene and PCOS,"Barber T.M., Wass J.A.H., Jarvelin M.-R., Zeggini E., Franks S., McCarthy M.I., Bennett A.J., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Elliott P.",0012186X,Diabetologia,50,11,0,0,2,2,2,4
2007,"Type 2 diabetes TCF7L2 risk genotypes alter birth weight: A study of 24,053 individuals","Freathy R.M., Ring S.M., Pembrey M.E., Ben-Shlomo Y., Strachan D.P., Power C., Jarvelin M.-R., McCarthy M.I., Smith G.D., Hattersley A.T., Frayling T.M., Weedon M.N., Bennett A., Hypponen E., Relton C.L., Knight B., Shields B., Parnell K.S., Groves C.J.",29297,American Journal of Human Genetics,80,6,0,5,16,21,9,30
2007,Cardiorespiratory fitness of Finnish adolescents,"Tammelin T., Remes J., Kujala V., Oksa J., Nayha S., Zitting P., Jarvelin M.-R.",1724622,International Journal of Sports Medicine,28,10,0,0,0,0,0,0
2007,Does vitamin D supplementation in infancy reduce the risk of pre-eclampsia?,"Hypponen E., Hartikainen A.-L., Sovio U., Jarvelin M.-R., Pouta A.",9543007,European Journal of Clinical Nutrition,61,9,0,0,2,2,4,6
2007,Birth weight and systolic blood pressure in adolescence and adulthood: Meta-regression analysis of sex- and age-specific results from 20 nordic studies,"Gamborg M., Forsen T., Gunnarsdottir I., Jarvelin M.-R., Koupil I., Lapidus L., Nilsen T.I., Olsen S.F., Schack-Nielsen L., Thorsdottir I., Tuomainen T.-P., Byberg L., Sorensen T.I.A., Rasmussen F., Andersen P.K., Baker J.L., Bengtsson C., Canoy D., Droyvold W., Eriksson J.G.",29262,American Journal of Epidemiology,166,6,0,0,7,7,7,14
2007,ADHD and comorbid disorders in relation to family environment and symptom severity,"Hurtig T., Ebeling H., Taanila A., Miettunen J., Smalley S., McGough J., Loo S., Jarvelin M.-R., Moilanen I.",10188827,European Child and Adolescent Psychiatry,16,6,0,0,3,3,4,7
2007,Detailed analysis of variation at and around mitochondrial position 16189 in a large finnish cohort reveals no significant associations with early growth or metabolic phenotypes at age 31 years,"Das S., Poulton J., Jarvelin M.-R., McCarthy M.I., Bennett A.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Franks S., Elliott P.",0021972X,Journal of Clinical Endocrinology and Metabolism,92,8,0,0,0,0,1,1
2007,Post-neonatal hospitalization and health care costs among IVF children: A 7-year follow-up study,"Koivurova S., Hartikainen A.-L., Gissler M., Hemminki E., Jarvelin M.-R.",2681161,Human Reproduction,22,8,0,0,6,6,2,8
2007,Comparison of self-reported emotional and behavioural problems in adolescents from Greece and Finland,"Kapi A., Veltsista A., Sovio U., Jarvelin M.-R., Bakoula C.",8035253,"Acta Paediatrica, International Journal of Paediatrics",96,8,0,0,0,0,0,0
2007,"The effect of pre-employment factors on job control, job strain and psychological distress: A 31-year longitudinal study","Elovainio M., Kivimaki M., Ek E., Vahtera J., Honkonen T., Taanila A., Veijola J., Jarvelin M.-R.",2779536,Social Science and Medicine,65,2,0,0,2,2,0,2
2007,"Relationship between E23K (an established type II diabetes-susceptibility variant within KCNJ11), polycystic ovary syndrome and androgen levels","Barber T.M., Weedon M.N., Hartikainen A.-L., Wass J.A.H., Jarvelin M.-R., Zeggini E., Franks S., McCarthy M.I., Bennett A.J., Gloyn A.L., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Taponen S.",10184813,European Journal of Human Genetics,15,6,0,0,2,2,0,2
2007,A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity,"Frayling T.M., Rayner N.W., Shields B., Harries L.W., Barrett J.C., Ellard S., Groves C.J., Knight B., Patch A.-M., Ness A.R., Ebrahim S., Timpson N.J., Lawlor D.A., Ring S.M., Ben-Shlomo Y., Jarvelin M.-R., Sovio U., Bennett A.J., Melzer D., Ferrucci L., Loos R.J.F., Barroso I., Weedon M.N., Wareham N.J., Karpe F., Owen K.R., Cardon L.R., Walker M., Hitman G.A., Palmer C.N.A., Doney A.S.F., Morris A.D., Smith G.D., Zeggini E., Hattersley A.T., McCarthy M.I., Freathy R.M., Lindgren C.M., Perry J.R.B., Elliott K.S., Lango H.",368075,Science,316,5826,0,54,194,248,144,392
2007,Early growth and adult respiratory function in men and women followed from the fetal period to adulthood,"Canoy D., Jarvelin M.-R., Pekkanen J., Elliott P., Pouta A., Laitinen J., Hartikainen A.-L., Zitting P., Patel S., Little M.P.",406376,Thorax,62,5,0,2,3,5,5,10
2007,Tag SNPs chosen from HapMap perform well in several population isolates,"Service S., Macedo A., Palha J.A., Heutink P., Aulchenko Y., Oostra B., Van Duijn C., Jarvelin M.-R., Varilo T., Peddle L., Rahman P., Sabatti C., Piras G., Monne M., Peltonen L., Freimer N., Karayiorgou M., Roos J.L., Pretorious H., Bedoya G., Ospina J., Ruiz-Linares A.",7410395,Genetic Epidemiology,31,3,0,1,11,12,1,13
2007,"Cloninger's temperament dimensions, socio-economic and lifestyle factors and metabolic syndrome markers at age 31 years in the northern Finland birth cohort 1966","Sovio U., King V., Miettunen J., Ek E., Laitinen J., Joukamaa M., Veijola J., Jarvelin M.-R.",13591053,Journal of Health Psychology,12,2,0,0,0,0,3,3
2007,Factors associated with fall in neonatal intubation rates in the United Kingdom - Prospective study,"Little M.P., Jarvelin M.-R., Neasham D.E., Lissauer T., Steer P.J.",14700328,BJOG: An International Journal of Obstetrics and Gynaecology,114,2,0,0,1,1,0,1
2007,The emergence of networks in human genome epidemiology: Challenges and opportunities,"Seminara D., Bondy M., Bray M.S., Brenchley P.E., Buffler P.A., Casas J.P., Chokkalingam A.P., Danesh J., Smith G.D., Dolan S., Duncan R., Khoury M.J., Gruis N.A., Hashibe M., Hunter D., Jarvelin M.-R., Malmer B., Maraganore D.M., Newton-Bishop J.A., Riboli E., Salanti G., Taioli E., O'Brien T.R., Timpson N., Uitterlinden A.G., Vineis P., Wareham N., Winn D.M., Zimmern R., Ioannidis J.P.A., Manolio T., Gwinn M.L., Little J., Higgins J.P.T., Bernstein J.L., Boffetta P.",10443983,Epidemiology,18,1,0,8,11,19,5,24
2006,Linkage disequilibrium and haplotype homozygosity in population samples genotyped at a high marker density,"Wang H., Bedoya G., Ospina J., Ruiz-Linares A., Macedo A., Palha J.A., Heutink P., Aulchenko Y., Oostra B., Van Duijn C., Jarvelin M.-R., Lin C.-H., Varilo T., Peddle L., Rahman P., Piras G., Monne M., Peltonen L., Service S., Chen Y., Freimer N., Sabatti C., Karayiorgou M., Roos J.L., Pretorious H.",15652,Human Heredity,62,4,1,0,0,0,0,1
2006,International comparison of Cloninger's temperament dimensions,"Miettunen J., Kantojarvi L., Veijola J., Jarvelin M.-R., Joukamaa M.",1918869,Personality and Individual Differences,41,8,0,2,3,5,3,8
2006,"Health, schooling and lifestyle among young adults in Finland","Hakkinen U., Jarvelin M.-R., Rosenqvist G., Laitinen J.",10579230,Health Economics,15,11,0,0,1,1,0,1
2006,Magnitude and distribution of linkage disequilibrium in population isolates and implications for genome-wide association studies,"Service S., Palha J.A., Heutink P., Aulchenko Y., Oostra B., Van Duijn C., Jarvelin M.-R., Varilo T., Peddle L., Rahman P., Piras G., DeYoung J., Monne M., Murray S., Galver L., Peltonen L., Sabatti C., Collins A., Freimer N., Karayiorgou M., Roos J.L., Pretorious H., Bedoya G., Ospina J., Ruiz-Linares A., Macedo A.",10614036,Nature Genetics,38,5,5,23,18,41,15,61
2006,Are females at special risk of obesity if they become psychotic? The longitudinal Northern Finland 1966 Birth Cohort Study,"Hakko H., Komulainen M.T., Koponen H., Saari K., Laitinen J., Jarvelin M.-R., Lindeman S.",9209964,Schizophrenia Research,84,1,0,2,3,5,2,7
2006,"Co-occurrence of personality disorders with mood, anxiety, and substance use disorders in a young adult population","Kantojarvi L., Veijola J., Laksy K., Jokelainen J., Herva A., Karvonen J.T., Kokkonen P., Jarvelin M.-R., Joukamaa M.",0885579X,Journal of Personality Disorders,20,1,0,2,3,5,0,5
2006,Birthweight and blood pressure in five European birth cohort studies: An investigation of confounding factors,"Hardy R., Sovio U., King V.J., Skidmore P.M.L., Helmsdal G., Olsen S.F., Emmett P.M., Wadsworth M.E.J., Jarvelin M.-R.",11011262,European Journal of Public Health,16,1,0,10,8,18,1,19
2006,"Gingivitis, dental caries and tooth loss: Risk factors for cardiovascular diseases or indicators of elevated health risks","Ylostalo P.V., Jarvelin M.R., Laitinen J., Knuuttila M.L.",3036979,Journal of Clinical Periodontology,33,2,1,0,4,4,1,6
2006,A road map for efficient and reliable human genome epidemiology,"Ioannidis J.P.A., Buffler P.A., Casas J.P., Chokkalingam A., Danesh J., Smith G.D., Dolan S., Duncan R., Gruis N.A., Hartge P., Hashibe M., Gwinn M., Hunter D.J., Jarvelin M.-R., Malmer B., Maraganore D.M., Newton-Bishop J.A., O'Brien T.R., Petersen G., Riboli E., Salanti G., Seminara D., Little J., Smeeth L., Taioli E., Timpson N., Uitterlinden A.G., Vineis P., Wareham N., Winn D.M., Zimmern R., Khoury M.J., Higgins J.P.T., Bernstein J.L., Boffetta P., Bondy M., Bray M.S., Brenchley P.E.",10614036,Nature Genetics,38,1,21,40,32,72,18,111
2005,Incidence of asthma in twelve thousand Finnish adults born in 1966,"Kujala V., Remes J., Latvala J., Jarvelin M.-R.",12321087,International Journal of Occupational Medicine and Environmental Health,18,3,0,0,0,0,0,0
2005,Body size from birth to adulthood and bone mineral content and density at 31 years of age: Results from the northern Finland 1966 birth cohort study,"Laitinen J., Kiukaanniemi K., Heikkinen J., Koiranen M., Nieminen P., Sovio U., Keinanen-Kiukaanniemi S., Jarvelin M.R.",0937941X,Osteoporosis International,16,11,0,0,2,2,2,4
2005,Self-employment and risk aversion - Evidence from psychological test data,"Ekelund J., Johansson E., Jarvelin M.-R., Lichtermann D.",9275371,Labour Economics,12,5,0,4,3,7,5,12
2005,A network of investigator networks in human genome epidemiology,"Ioannidis J.P.A., Little J., Maraganore D.M., Newton Bishop J.A., O'Brien T.R., Petersen G., Riboli E., Seminara D., Taioli E., Uitterlinden A.G., Vineis P., Bernstein J., Winn D.M., Salanti G., Higgins J.P.T., Khoury M.J., Boffetta P., Danesh J., Dolan S., Hartge P., Hunter D., Inskip P., Jarvelin M.-R.",29262,American Journal of Epidemiology,162,4,19,19,11,30,13,62
2005,Serum C-reactive protein and Chlamydia trachomatis antibodies in preterm delivery,"Karinen L., Pouta A., Bloigu A., Koskela P., Paldanius M., Leinonen M., Saikku P., Jarvelin M.-R., Hartikainen A.-L.",297844,Obstetrics and Gynecology,106,1,1,2,4,6,1,8
2005,Dental check-ups in 31-year-olds in relation to optimism and life satisfaction,"Ylostalo P., Sakki T., Jarvelin M.-R., Knuuttila M.",0265539X,Community Dental Health,22,2,0,0,0,0,0,0
2005,Social predictors of unsuccessful entrance into the labour market - A socialization process perspective,"Ek E., Sovio U., Remes J., Jarvelin M.-J.",18791,Journal of Vocational Behavior,66,3,1,2,1,3,0,4
2005,Analysis of multiple data sets reveals no association between the insulin gene variable number tandem repeat element and polycystic ovary syndrome or related traits,"Powell B.L., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Halford S., Zeggini E., Jarvelin M.-R., Franks S., McCarthy M.I., Haddad L., Bennett A., Gharani N., Sovio U., Groves C.J., Rush K., Goh M.J., Conway G.S.",0021972X,Journal of Clinical Endocrinology and Metabolism,90,5,10,10,6,16,1,27
2005,A 4-fold risk of metabolic syndrome in patients with schizophrenia: The Northern Finland 1966 birth cohort study,"Saari K.M., Lindeman S.M., Viilo K.M., Isohanni M.K., Jarvelin M.-R., Lauren L.H., Savolainen M.J., Koponen H.J.",1606689,Journal of Clinical Psychiatry,66,5,11,13,14,27,10,48
2005,Etiological survey on intellectual disability in the Northern Finland birth cohort 1986,"Heikura U., Linna S.-L., Olsen P., Hartikainen A.-L., Taanila A., Jarvelin M.-R.",8958017,American Journal on Mental Retardation,110,3,0,1,0,1,0,1
2005,No association between insulin gene variation and adult metabolic phenotypes in a large Finnish birth cohort,"Bennett A., Elliott P., Jarvelin M.-R., McCarthy M.I., Sovio U., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Franks S., Peltonen L.",0012186X,Diabetologia,48,5,7,4,1,5,0,12
2005,Mothers and daughters: Intergenerational patterns of reproduction,"Pouta A., Jarvelin M.-R., Hemminki E., Sovio U., Hartikainen A.-L.",11011262,European Journal of Public Health,15,2,1,1,1,2,1,4
2005,How do persons with intellectual disability manage in the open labour markets? A follow-up of the Northern Finland 1966 Birth Cohort,"Taanila A., Rantakallio P., Koiranen M., von Wendt L., Jarvelin M.-R.",9642633,Journal of Intellectual Disability Research,49,3,0,1,4,5,1,6
2005,Metabolic cardiovascular disease risk factors in women with self-reported symptoms of oligomenorrhea and/or hirsutism: Northern Finland birth cohort 1966 study,"Taponen S., Paldanius M., Ruokonen A., Martikainen H., Jarvelin M.-R., Sovio U., Laitinen J., Pouta A., Hartikainen A.-L., McCarthy M.I., Franks S.",297828,Obstetrical and Gynecological Survey,60,1,0,0,0,0,0,0
2004,Health care costs resulting from IVF: Prenatal and neonatal periods,"Koivurova S., Hartikainen A.-L., Gissler M., Hemminki E., Klemetti R., Jarvelin M.-R.",2681161,Human Reproduction,19,12,6,6,5,11,0,17
2004,Early life factors and blood pressure at age 31 years in the 1966 Northern Finland birth cohort,"Jarvelin M.-R., Rantakallio P., Elliott P., Sovio U., King V., Lauren L., Xu B., McCarthy M.I., Hartikainen A.-L., Laitinen J., Zitting P.",0194911X,Hypertension,44,6,7,17,15,32,6,45
2004,Infant vitamin D supplementation and allergic conditions in adulthood: Northern Finland birth cohort 1966,"Hypponen E., Sovio U., Wjst M., Patel S., Pekkanen J., Hartikainen A.-L., Jarvelin M.-R.",778923,Annals of the New York Academy of Sciences,1037, ,11,16,16,32,11,54
2004,Comparison of hospital-treated personality disorders and personality disorders in a general population sample,"Kantojarvi L., Veijola J., Laksy K., Jokelainen J., Herva A., Karvonen J.T., Kokkonen P., Jarvelin M.-R., Joukamaa M.",8039488,Nordic Journal of Psychiatry,58,5,2,0,2,2,1,5
2004,Antibodies to Chlamydia trachomatis heat shock proteins Hsp60 and Hsp10 and subfertility in general population at age 31,"Karinen L., Pouta A., Hartikainen A.-L., Bloigu A., Paldanius M., Leinonen M., Saikku P., Jarvelin M.-R.",10467408,American Journal of Reproductive Immunology,52,5,4,2,0,2,0,6
2004,"Association between Chlamydia trachomatis antibodies and subfertility in the Northern Finland Birth Cohort 1966 (NFBC 1966), at the age of 31 years","Karinen L., Pouta A., Hartikainen A.-L., Bloigu A., Paldanius M., Leinonen M., Saikku P., Jarvelin M.-R.",9502688,Epidemiology and Infection,132,5,7,2,2,4,2,13
2004,Serum lipids in schizophrenia and other functional psychoses: A general population northern Finland 1966 birth cohort survey,"Saari K., Lindeman S., Jokelainen J., Veijola J., Koponen H., Jones P.B., Savolainen M., Jarvelin M.-R., Lauren L., Isohanni M.",0001690X,Acta Psychiatrica Scandinavica,110,4,5,3,2,5,1,11
2004,Teenage smoking and substance use as predictors of severe alcohol problems in late adolescence and in young adulthood,"Riala K., Hakko H., Isohanni M., Jarvelin M.-R., Rasanen P.",1054139X,Journal of Adolescent Health,35,3,7,5,4,9,2,18
2004,A large population cohort provides normative data for investigation of temperament,"Miettunen J., Joukamaa M., Kantojarvi L., Ekelund J., Veijola J., Karvonen J.T., Peltonen L., Jarvelin M.R., Freimer N., Lichtermann D.",0001690X,Acta Psychiatrica Scandinavica,110,2,7,5,4,9,5,21
2004,Variation at the insulin gene VNTR (variable number tandem repeat) polymorphism and early growth: Studies in a large Finnish Birth Cohort,"Bennett A.J., Jarvelin M.-R., McCarthy M.I., Sovio U., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., King V.J., Elliott P.",121797,Diabetes,53,8,16,6,4,10,1,27
2004,"Control-demand of work, psychological well-being and health behavior among young finnish employees","Ek E., Remes J., Laitinen J., Tammelin T., Jarvelin M.-R.",8870446,Psychology and Health,19,1,0,0,0,0,0,0
2004,"Large-Scale Analysis of the Relationship between CYP11A Promoter Variation, Polycystic Ovarian Syndrome, and Serum Testosterone","Gaasenbeek M., Conway G.S., Ruokonen A., Martikainen H., Pouta A., Taponen S., Hartikainen A.-L., Halford S., Jarvelin M.-R., Franks S., McCarthy M.I., Powell B.L., Sovio U., Haddad L., Gharani N., Bennett A., Groves C.J., Rush K., Goh M.J.",0021972X,Journal of Clinical Endocrinology and Metabolism,89,5,12,4,8,12,3,27
2004,Metabolic Cardiovascular Disease Risk Factors in Women with Self-Reported Symptoms of Oligomenorrhea and/or Hirsutism: Northern Finland Birth Cohort 1966 Study,"Taponen S., Paldanius M., Ruokonen A., Martikainen H., Jarvelin M.-R., Sovio U., Laitinen J., Pouta A., Hartikainen A.-L., McCarthy M.I., Franks S.",0021972X,Journal of Clinical Endocrinology and Metabolism,89,5,11,12,4,16,5,32
2004,Prevalence of polycystic ovaries in women with self-reported symptoms of oligomenorrhoea and/or hirsutism: Northern Finland birth cohort 1966 study,"Taponen S., King V., Franks S., McCarthy M.I., Jarvelin M.-R., Ahonkallio S., Martikainen H., Koivunen R., Ruokonen A., Sovio U., Hartikainen A.-L., Pouta A., Laitinen J.",2681161,Human Reproduction,19,5,8,4,10,14,3,25
2004,The relation of tobacco smoking to tooth loss among young adults,"Ylostalo P., Sakki T., Laitinen J., Jarvelin M.-R., Knuuttila M.",9098836,European Journal of Oral Sciences,112,2,8,3,11,14,3,25
2004,Vitamin D supplementation during the first year of life and risk of schizophrenia: A Finnish birth cohort study,"McGrath J., Saari K., Hakko H., Jokelainen J., Jones P., Jarvelin M.-R., Chant D., Isohanni M.",9209964,Schizophrenia Research,67, 2-3,15,7,7,14,7,36
2004,Manifestations of Metabolic Syndrome after Hypertensive Pregnancy,"Pouta A., Hartikainen A.-L., Sovio U., Gissler M., Laitinen J., McCarthy M.I., Ruokonen A., Elliott P., Jarvelin M.-R.",0194911X,Hypertension,43,4,6,9,15,24,6,36
2004,Is a large family a protective factor against behavioural and emotional problems at the age of 8 years?,"Taanila A., Ebeling H., Kotimaa A., Moilanen I., Jarvelin M.-R.",8035253,"Acta Paediatrica, International Journal of Paediatrics",93,4,4,1,2,3,2,9
2004,Somatization disorder in young adult population,"Karvonen J.T., Veijola J., Jokelainen J., Laksy K., Jarvelin M.-R., Joukamaa M.",1638343,General Hospital Psychiatry,26,1,6,2,2,4,1,11
2004,Predictors of abdominal obesity among 31-y-old men and women born in Northern Finland in 1966,"Laitinen J., Pietilainen K., Wadsworth M., Sovio U., Jarvelin M.-R.",9543007,European Journal of Clinical Nutrition,58,1,19,9,8,17,6,42
2003,"Growth, psychomotor development and morbidity up to 3 years of age in children born after IVF","Koivurova S., Hartikainen A.-L., Sovio U., Gissler M., Hemminki E., Jarvelin M.-R.",2681161,Human Reproduction,18,11,18,6,13,19,7,44
2003,Hand preference and risk of injury among the Northern Finland birth cohort at the age of 30,"Pekkarinen A., Salminen S., Jarvelin M.-R.",1357650X,Laterality,8,4,0,3,1,4,0,4
2003,Physical activity and social status in adolescence as predictors of physical inactivity in adulthood,"Tammelin T., Nayha S., Laitinen J., Rintamaki H., Jarvelin M.-R.",917435,Preventive Medicine,37,4,10,2,5,7,10,27
2003,Relationship between birthweight and blood lipid concentrations in later life: Evidence from the existing literature,"Lauren L., Pouta A., Hardy R., Wadsworth M., Helmsdal G., Olsen S., Bakoula C., Lekea V., Millwood I., Jarvelin M.-R., Elliott P., Sovio U., Spellman A., McCarthy M., Emmett P., Rogers I., Hartikainen A.-L.",3005771,International Journal of Epidemiology,32,5,22,2,7,9,2,33
2003,The Finnish version of the National Institutes of Health Chronic Prostatitis Symptom Index correlates well with the visual pain scale: Translation and results of a modified linguistic validation study,"Leskinen M.J., Mehik A., Sarpola A., Tammela T.L.J., Jarvelin M.-R.",14644096,BJU International,92,3,7,0,1,1,1,9
2003,Maternal smoking and hyperactivity in 8-year-old children,"Kotimaa A.J., Moilanen I., Taanila A., Ebeling H., Smalley S.L., McGough J.J., Hartikainen A.-L., Jarvelin M.-R.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,42,7,23,14,9,23,9,55
2003,The Hopkins Symptom Checklist-25 in screening DSM-III-R axis-I disorders,"Veijola J., Jokelainen J., Laksy K., Kantojarvi L., Kokkonen P., Jarvelin M.-R., Joukamaa M.",8039488,Nordic Journal of Psychiatry,57,2,16,4,4,8,1,25
2003,Body size from birth to adulthood as a predictor of self-reported polycystic ovary syndrome symptoms,"Laitinen J., Franks S., Jarvelin M.R., Taponen S., Martikainen H., Pouta A., Millwood I., Hartikainen A.-L., Ruokonen A., Sovio U., McCarthy M.I.",3070565,International Journal of Obesity,27,6,15,7,7,14,2,31
2003,Maternal lifestyle factors in pregnancy risk of attention deficit hyperactivity disorder and associated behaviors: Review of the current evidence,"Linnet K.M., Olsen J., Jarvelin M.-R., Dalsgaard S., Obel G., Wisborg K., Henriksen T.B., Rodriguez A., Kotimaa A., Moilanen I., Thomsen P.H.",0002953X,American Journal of Psychiatry,160,6,61,35,44,79,34,174
2003,Reasons for the diagnostic discordance between clinicians and researchers in schizophrenia in Northern Finland 1966 Birth Cohort,"Moilanen K., Joukamaa M., Jarvelin M.-R., Moring J., Jones P.B., Isohanni M., Veijola J., Laksy K., Makikyro T., Miettunen J., Kantojarvi L., Kokkonen P., Karvonen J.T., Herva A.",9337954,Social Psychiatry and Psychiatric Epidemiology,38,6,14,7,6,13,4,31
2003,Developmental typology of trajectories to nighttime bladder control: Epidemiologic application of longitudinal latent class analysis,"Croudace T.J., Jarvelin M.-R., Wadsworth M.E.J., Jones P.B.",29262,American Journal of Epidemiology,157,9,5,5,6,11,3,19
2003,Ability to speak at the age of 1 year and alexithymia 30 years later,"Kokkonen P., Veijola J., Karvonen J.T., Laksy K., Jokelainen J., Jarvelin M.-R., Joukamaa M.",223999,Journal of Psychosomatic Research,54,5,3,3,0,3,3,9
2003,Social situation of expectant mothers and alexithymia 31 years later in their offspring: A prospective study,"Joukamaa M., Kokkonen P., Veijola J., Laksy K., Karvonen J.T., Jokelainen J., Jarvelin M.-R.",333174,Psychosomatic Medicine,65,2,8,2,0,2,3,13
2003,Hormonal profile of women with self-reported symptoms of oligomenorrhea and/or hirsutism: Northern Finland birth cohort 1966 study,"Taponen S., Ruokonen A., Martikainen H., Jarvelin M.-R., Laitinen J., Pouta A., Hartikainen A.-L., Sovio U., McCarthy M.I., Franks S.",0021972X,Journal of Clinical Endocrinology and Metabolism,88,1,16,3,8,11,1,28
2003,Adolescent participation in sports and adult physical activity,"Tammelin T., Nayha S., Hills A.P., Jarvelin M.-R.",7493797,American Journal of Preventive Medicine,24,1,26,9,12,21,13,60
2003,Temporal changes in incidence and prevalence of intellectual disability between two birth cohorts in Northern Finland,"Heikura U., Taanila A., Olsen P., Hartikainen A.-L., Von Wendt L., Jarvelin M.-R.",8958017,American Journal on Mental Retardation,108,1,3,1,1,2,0,5
2002,Effects of family interaction on the child's behavior in single-parent or reconstructed families,"Taanila A., Laitinen E., Moilanen I., Jarvelin M.-R.",147370,Family Process,41,4,3,4,2,6,1,10
2002,Brainstem auditory-evoked potentials of 8-year-old preterm children in relation to their psycholinguistic abilities and MRI findings,"Olsen P., Yliherva A., Paakko E., Jarvelin M.-R., Tolonen U.",3783782,Early Human Development,70, 1-2,1,0,0,0,0,1
2002,Neonatal outcome and congenital malformations in children born after IVF (multiple letters),"Merlob P., Fisch B., Koivurova S., Sovio U., Jarvelin M.-R.",2681161,Human Reproduction,17,11,2,0,0,0,0,2
2002,The course of pregnancy and delivery and the use of maternal healthcare services after standard IVF in Northern Finland 1990-1995,"Koivurova S., Hartikainen A.-L., Karinen L., Gissler M., Hemminki E., Martikainen H., Tuomivaara L., Jarvelin M.-R.",2681161,Human Reproduction,17,11,17,1,3,4,2,23
2002,Unemployment and obesity among young adults in a northern Finland 1966 birth cohort,"Laitinen J., Power C., Ek E., Sovio U., Jarvelin M.R.",3070565,International Journal of Obesity,26,10,10,3,4,7,5,22
2002,Body build from birth to adulthood and risk of asthma,"Xu B., Pekkanen J., Laitinen J., Jarvelin M.-R.",11011262,European Journal of Public Health,12,3,14,6,3,9,9,32
2002,Family type and criminal behaviour of male offspring: The Northern Finland 1966 birth cohort study,"Sauvola A., Koskinen O., Jokelainen J., Hakko H., Jarvelin M.-R., Rasanen P.",207640,International Journal of Social Psychiatry,48,2,1,1,2,3,0,4
2002,Coping of parents with physically and/or intellectually disabled children,"Taanila A., Syrjala L., Kokkonen J., Jarvelin M.-R.",3051862,"Child: Care, Health and Development",28,1,15,7,4,11,2,28
2002,"Temporomandibular Disorders, Occlusion, and Neck Pain in Subjects with Facial Pain: A Case-Control Study","Sipila K., Zitting P., Siira P., Laukkanen P., Jarvelin M.-R., Oikarinen K.S., Raustia A.M.",8869634,Cranio,20,3,12,2,1,3,0,15
2002,Predictors of Female Criminality: Findings from the Northern Finland 1966 Birth Cohort,"Kemppainen L., Jokelainen J., Isohanni M., Jarvelin M.-R., Rasanen P.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,41,7,6,1,0,1,1,8
2002,Neonatal outcome and congenital malformations in children born after in-vitro fertilization,"Koivurova S., Hartikainen A.-L., Gissler M., Hemminki E., Sovio U., Jarvelin M.-R.",2681161,Human Reproduction,17,5,69,9,10,19,3,91
