,"Author: Itoh, Dr Yoshifumi; Itoh Yoshifumi ",,,,,,,,,,,
1996,Fundamental study on N2O formation/decomposition characteristics by means of low-temperature pulverized coal combustion,"Naruse I., Yamamoto Y., Itoh Y., Ohtake K.",820784,Symposium (International) on Combustion,26,2,0,0,0,0,0,0
1996,Effect of coil collapse on photon-harvesting polymers with carbazole chromophores,"Kiserow D.J., Itoh Y., Webber S.E.",249297,Macromolecules,29,24,7,0,0,0,0,7
1996,Degradation of cross-linked fibrin by matrix metalloproteinase 3 (stromelysin 1): Hydrolysis of the ? Gly 404-Ala 405 peptide bond,"Bini A., Itoh Y., Kudryk B.J., Nagase H.",62960,Biochemistry,35,40,55,3,6,9,0,64
1996,Matrix metalloproteinases and TIMPS in cultured C57BL/6J-cpk kidney tubules,"Rankin C.A., Suzuki K., Itoh Y., Ziemer D.M., Grantham J.J., Calvet J.P., Nagase H.",852538,Kidney International,50,3,26,4,1,5,0,31
1996,Fluorescence quenching studies of matrix metalloproteinases (MMPs): Evidence for structural rearrangement of the proMMP-2/TIMP-2 complex upon mercurial activation,"Stack M.S., Itoh Y., Young T.N., Nagase H.",39861,Archives of Biochemistry and Biophysics,333,1,5,0,1,1,0,6
1996,Relaxed specificity of matrix metalloproteinases (MMPS) and TIMP insensitivity of tumor necrosis factor-? (TNF-?) production suggest the major TNF-? converting enzyme is not an MMP,"Black R.A., Johnson R.S., Itoh Y., Okada Y., Nagase H., Durie F.H., Otten-Evans C., Miller R., Slack J.L., Lynch D.H., Castner B., Mohler K.M., Gerhart M.",0006291X,Biochemical and Biophysical Research Communications,225,2,53,3,0,3,0,56
1996,Alternating copolymers consisting of arylalkyl methacrylates. II. Effect of coil collapse on fluorescence spectra of alternating copolymers of 2-(9-carbazolyl)ethyl methacrylate and aromatic vinyl monomers,"Itoh Y., Inoue M., Hachimori A.",0887624X,"Journal of Polymer Science, Part A: Polymer Chemistry",34,1,4,0,1,1,0,5
1996,Degradation of interleukin 1? by matrix metalloproteinases,"Ito A., Mukaiyama A., Itoh Y., Nagase H., Thogersen I.B., Enghild J.J., Sasaguri Y., Mori Y.",219258,Journal of Biological Chemistry,271,25,120,13,15,28,7,155
1995,Steps involved in activation of the complex of pro-matrix metalloproteinase 2 (progelatinase A) and tissue inhibitor of metalloproteinases (TIMP)-2 by 4-aminophenylmercuric acetate,"Itoh Y., Binner S., Nagase H.",2646021,Biochemical Journal,308,2,68,6,2,8,1,77
1995,Preferential inactivation of tissue inhibitor of metalloproteinase-1 that is bound to the precursor of matrix metalloproteinase 9 (progelatinase B) by human neutrophil elastase,"Itoh Y., Nagase H.",219258,Journal of Biological Chemistry,270,28,74,10,2,12,4,90
1995,Localization of three fragments of connectin in chicken breast muscle sarcomeres,"Kawamura Y., Kume H., Itoh Y., Ohtsuka S., Kimura S., Maruyama K.",0021924X,Journal of Biochemistry,117,1,9,0,0,0,0,9
1995,Photochemistry of amphiphilic copolymers: fluorescence spectra of copolymers of 1-(2-naphthyl)ethyl methacrylate and sodium 2-acrylamido-2-methylpropanesulfonate in solution,"Itoh Yoshihiro, Yamashita Osamu, Hachimori Akira, Kojima Masanobu, Suzuki Satoshi",0887624X,"Journal of Polymer Science, Part A: Polymer Chemistry",33,1,4,0,0,0,0,4
1995,Steps involved in activation of the pro-matrix metalloproteinase 9 (progelatinase B)-tissue inhibitor of metalloproteinases-1 complex by 4- aminophenylmercuric acetate and proteinases,"Ogata Y., Itoh Y., Nagase H.",219258,Journal of Biological Chemistry,270,31,89,7,4,11,2,102
1994,Interaction of ?2-macroglobulin with matrix metalloproteinases and its use for identification of their active forms,"Nagase H., Itoh Y., Binner S.",778923,Annals of the New York Academy of Sciences,732, ,25,3,1,4,0,29
1994,The glycinin box: A soybean embryo factor binding motif within the quantitative regulatory region of the 11S seed storage globulin promoter,"Itoh Y., Kitamura Y., Fukazawa C.",268925,Molecular and General Genetics,243,3,2,1,0,1,0,3
1994,Progesterone increases the production of tissue inhibitor G metalloproteinases-2 in rabbit uterine cervical fibroblasts,"Imada K., Ito A., Itoh Y., Nagase H., Mori Y.",145793,FEBS Letters,341,1,11,0,1,1,0,12
1994,Residues essential for catalytic activity of soybean ?-amylase,"Totsuka A., Nong V.H., Kadokawa H., Kim C.-S., Itoh Y., Fukazawa C.",142956,European Journal of Biochemistry,221,2,22,2,0,2,1,25
1993,Cis-acting regulatory regions of the soybean seed storage 11S globulin gene and their interactions with seed embryo factors,"Itoh Y., Kitamura Y., Arahira M., Fukazawa C.",1674412,Plant Molecular Biology,21,6,5,1,0,1,0,6
1992,Effects of interleukin-6 on the metabolism of connective tissue components in rheumatoid synovial fibroblasts,"Ito A., Itoh Y., Sasaguri Y., Morimatsu M., Mori Y.",43591,Arthritis and Rheumatism,35,10,59,3,1,4,3,66
1992,Mutations affecting regulation of the anabolic argF and the catabolic aru genes in Pseudomonas aeruginosa PAO,"Itoh Y., Matsumoto H.",268925,Molecular and General Genetics,231,3,6,0,0,0,0,6
1992,Function of the N-terminal half of RepA in activation of Rts1 ori,"Terawaki Y., Itoh Y., Zeng H., Hayashi T., Tabuchi A.",219193,Journal of Bacteriology,174,21,1,0,0,0,0,1
1991,Identification of rabbit uterine cervical procollagenase activator as rabbit matrix metalloproteinase 3 (stromelysin),"Ito A., Itoh Y., Sato T., Mori Y., Suzuki K., Nagase H.",3050491,Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology,99,2,4,0,0,0,0,4
1990,Molecular cloning of the xylA gene encoding xylose isomerase from Streptomyces griseofuscus S-41: primary structure of the gene and its product.,"Kikuchi T., Itoh Y., Kasumi T., Fukazawa C.",21369,Agricultural and Biological Chemistry,54,9,9,0,1,1,0,10
1990,"Erratum: Anabolic ornithine carbamoyltransferase of Pseudomonas aeruginosa: Nucleotide sequence and transcriptional control of the argF structural gene (J. Bacteriol., Volume 170, no. 6, p. 2730)","Itoh Y., Soldati L., Stalon V., Falmagne P., Terawaki Y., Leisinger T., Haas D.",219193,Journal of Bacteriology,172,4,0,0,0,0,0,0
1990,Effects of mutations in the repA gene of plasmid Rts1 on plasmid replication and autorepressor function,"Terawaki Y., Nozue H., Zeng H., Hayashi T., Kamio Y., Itoh Y.",219193,Journal of Bacteriology,172,2,4,0,0,0,0,4
1989,Replication properties of mini-Rts1 derivatives deleted for DnaA boxes in the replication origin,"Itoh Y., Terawaki Y.",0147619X,Plasmid,21,3,3,0,0,0,0,3
1988,Purification of Rts1 RepA protein and binding of the protein to mini-Rts1 DNA.,"Kamio Y., Itoh Y., Terawaki Y.",219193,Journal of Bacteriology,170,9,3,0,0,0,0,3
1988,Anabolic ornithine carbamoyltransferase of Pseudomonas aeruginosa: nucleotide sequence and transcriptional control of the argF structural gene.,"Itoh Y., Soldati L., Stalon V., Falmagne P., Terawaki Y., Leisinger T., Haas D.",219193,Journal of Bacteriology,170,6,14,0,0,0,0,14
1988,Importance of the C terminus of plasmid Rts1 RepA protein for replication and incompatibility of the plasmid.,"Terawaki Y., Hong Z., Itoh Y., Kamio Y.",219193,Journal of Bacteriology,170,3,1,0,0,0,0,1
1988,Low- and intermediate-copy-number cloning vectors based on the Pseudomonas plasmid pVS1,"Itoh Y., Soldati L., Leisinger T., Haas D.",36072,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",54,6,5,0,0,0,0,5
1988,Absence of nebulin in cardiac muscles of the chicken embryo,"Itoh Y., Matsuura T., Kimura S., Maruyama K.",3886107,Biomedical Research,9,4,8,0,0,0,0,8
1988,An immunological homology between neurofilament and muscle elastic filament: A monoclonal antibody cross-reacts with neurofilament subuntis and connectin,"Shimizu T., Matsumura K., Itoh Y., Mannen T., Maruyama K.",3886107,Biomedical Research,9,3,5,0,0,0,0,5
1988,Extensible and less-extensible domains of connectin filaments in stretched vertebrate skeletal muscle sarcomeres as detected by immunofluorescence and immunoelectron microscopy using monoclonal antibodies,"Itoh Y., Suzuki T., Kimura S., Ohashi K., Higuchi H., Sawada H., Shimizu T., Shibata M., Maruyama K.",0021924X,Journal of Biochemistry,104,4,60,4,0,4,0,64
1987,POLYELECTROLYTES CONTAINING DIHYDRONICOTINAMIDE. III. FLUORESCENCE QUENCHING BY NICOTINAMIDE-CONTAINING POLYMERS IN AQUEOUS SOLUTION.,"Itoh Yoshihiro, Abe Koji, Senoh Saburo",0887624X,"Journal of Polymer Science, Part A: Polymer Chemistry",25,10,3,0,1,1,0,4
1987,POLYELECTROLYTE CONTAINING DIHYDRONICOTINAMIDE. II: INTERACTION OF POLYMER AND SUBSTRATE.,"Itoh Yoshihiro, Wakisaka Kazuyoshi, Abe Koji, Senoh Saburo",0887624X,"Journal of Polymer Science, Part A: Polymer Chemistry",25,5,2,0,0,0,0,2
1987,POLYELECTROLYTES CONTAINING DIHYDRONICOTINAMIDE I. ELECTROSTATIC EFFECT ON THE REDUCTION IN AQUEOUS SOLUTION.,"Itoh Yoshihiro, Wakisaka Kazuyoshi, Matsuda Yutaka, Abe Koji, Senoh Saburo",0887624X,"Journal of Polymer Science, Part A: Polymer Chemistry",25,3,0,0,0,0,0,0
1987,Essential DNA sequence for the replication of Rts1,"Itoh Y., Kamio Y., Terawaki Y.",219193,Journal of Bacteriology,169,3,5,0,0,0,0,5
1986,Native connectin from porcine cardiac muscle.,"Itoh Y., Kimura S., Suzuki T., Ohashi K., Maruyama K.",0021924X,Journal of biochemistry,100,2,4,0,0,0,0,4
1986,"Circular dichroism spectra show abundance of ?-sheet structure in connectin, a muscle elastic protein","Maruyama K., Itoh Y., Arisaka F.",145793,FEBS Letters,202,2,2,0,0,0,0,2
1986,A generalized transducing phage of Pseudomonas cepacia,"Matsumoto H., Itoh Y., Ohta S., Terawaki Y.",221287,Journal of General Microbiology,132,9,5,1,0,1,0,6
1985,Copy mutant of mini-Rts1: Lowered binding affinity of mutated RepA protein to direct repeats,"Terawaki Y., Itoh Y.",219193,Journal of Bacteriology,162,1,1,0,0,0,0,1
1985,Cloning vectors derived from the Pseudomonas plasmid pVS1,"Itoh Y., Haas D.",3781119,Gene,36, 1-2,12,0,0,0,0,12
1984,Genetic and molecular characterization of the Pseudomonas plasmid pVS1,"Itoh Y., Watson J.M., Haas D., Leisinger T.",0147619X,Plasmid,11,3,25,2,3,5,2,32
1984,Complete nucleotide sequence of mini-Rts1 and its copy mutant,"Kamio Y., Tabuchi A., Itoh Y.",219193,Journal of Bacteriology,158,1,7,1,0,1,0,8
1982,Cloning of the replication and incompatibility regions of a plasmid derived from Rts1,"Itoh Y., Kamio Y., Furuta Y., Terawaki Y.",0147619X,Plasmid,8,3,5,0,0,0,0,5
1982,AMPHIPHILIC COPOLYMERS CONSISTING OF VINYLPHENANTHRENE AND CATIONIC SEGMENTS. FLUORESCENCE QUENCHING BY AMPHIPHILIC QUENCHERS IN AQUEOUS MEDIA.,"Morishima Yotaro, Tanaka Tohru, Itoh Yoshihiro, Nozakura Shun-ichi",323896,Polymer Journal,14,11,0,0,0,0,0,0
1982,AMPHIPHILIC BLOCK COPOLYMER OF 9-VINYLPHENANTHRENE AND METHACRYLIC ACID: FLUORESCENCE QUENCHING OF PHENANTHRENE RESIDUE IN AQUEOUS MEDIUM.,"Morishima Yotaro, Itoh Yoshihiro, Hashimoto Toshihiko, Nozakura Shun-ichi",0449296X,"Journal of polymer science. Part A-1, Polymer chemistry",20,8,14,1,0,1,0,15
1982,"SYNTHESES OF AMPHIPHILIC BLOCK COPOLYMERS - BLOCK COPOLYMERS OF METHACRYLIC ACID AND p-N,N-DIMETHYLAMINOSTYRENE.","Morishima Yotaro, Hashimoto Toshihiko, Itoh Yoshihiro, Kamachi Mikiharu, Nozakura Shun Ichi",0449296X,"Journal of polymer science. Part A-1, Polymer chemistry",20,2,19,5,0,5,0,24
1982,AMPHIPHILIC COPOLYMERS OF SOME AROMATIC VINYL COMPOUNDS AND AN ELECTROLYTIC MONOMER AS POTENTIAL MEDIA FOR PHOTOSENSITIZED ELECTRON TRANSFER: FLUORESCENCE QUENCHING BY AN AMPHIPHILIC ELECTRON ACCEPTOR IN AQUEOUS MEDIA.,"Itoh Yoshihiro, Morishima Yotaro, Nozakura Shun Ichi",0449296X,"Journal of polymer science. Part A-1, Polymer chemistry",20,2,13,0,0,0,0,13
1981,Cadaverine is covalently linked to peptidoglycan in Selenomonas ruminantium,"Kamio Y., Itoh Y., Terawaki Y., Kusano T.",219193,Journal of Bacteriology,145,1,9,0,3,3,0,12
1981,Chemical structure of peptidoglycan in Selenomonas ruminantium: Cadaverine links covalently to the D-glutamic acid residue of peptidoglycan,"Kamio Y., Itoh Y., Terawaki Y.",219193,Journal of Bacteriology,146,1,11,0,3,3,0,14
